logical_id,expected_path,source_product,source_version,years,size_bytes,sha256,redistribution_status,reconstruction_instruction
afcd_annual_binary_stack,<configured UPEMBA_DATA_ROOT>/data/AFCD_stack.tif,Annual Cropland Extent Dataset for Africa,retained upstream version,2000-2022,31896288,2fea7f5f1ef56f76688de00da036862924cac7580d201a028a21fd3444d2d4e0,restricted external input,Restore the exact checksum-matched annual stack under UPEMBA_DATA_ROOT; it is required to reproduce persistence classifications.
hansen_gain_00N_020E,data/external/hansen_gfc_2024_v1_12/Hansen_GFC-2024-v1.12_gain_00N_020E.tif,Hansen Global Forest Change,v1.12 gain 2000-2012,2000-2012,22417181,adb03704e2e25494fc1c54e3b3302533d4d5bd802545182a8f51765fddd88bd0,public cached input,Run scripts/acquisition/01_acquire_hansen_gain_loss_tiles.R.
hansen_gain_10S_020E,data/external/hansen_gfc_2024_v1_12/Hansen_GFC-2024-v1.12_gain_10S_020E.tif,Hansen Global Forest Change,v1.12 gain 2000-2012,2000-2012,13777237,bcc756d854092b6c6b4a45f09f0e65fb1ac894a5c701acf4fc726e17d2b31d2e,public cached input,Run scripts/acquisition/01_acquire_hansen_gain_loss_tiles.R.
hansen_lossyear_00N_020E,data/external/hansen_gfc_2024_v1_12/Hansen_GFC-2024-v1.12_lossyear_00N_020E.tif,Hansen Global Forest Change,v1.12 loss year,2001-2024,116178779,8c08a089f18be2117de0bd227a5ce7be218a9193e5fe8f6e5df6b152b11e00e0,public cached input,Run scripts/acquisition/01_acquire_hansen_gain_loss_tiles.R.
hansen_lossyear_10S_020E,data/external/hansen_gfc_2024_v1_12/Hansen_GFC-2024-v1.12_lossyear_10S_020E.tif,Hansen Global Forest Change,v1.12 loss year,2001-2024,73465133,b19033c6089a943d089f68d060ef06d46ed2b38829de6ad971b23428955c22c9,public cached input,Run scripts/acquisition/01_acquire_hansen_gain_loss_tiles.R.
