SESU_ID,domain_area_km2,observed_area_km2,not_burnable_area_km2,missing_area_km2,burned_area_km2,observed_fraction_of_burnable,burned_fraction_of_domain,rainfall_mm,rain_observed_fraction,year,month,landscape_group
1,4410.79943864156,4256.80649427215,27.6726072358998,126.320337133516,0,0.971180314421108,0,161.894577985983,1,2022,1,Depression
3,6235.23508372065,4837.74513505716,0.184034227789998,1397.3059144357,0,0.775895032238853,0,157.885112374942,1,2022,1,Plateau
1,4410.79943864156,4253.62892272494,27.6726072358998,129.497908680717,0,0.970455359002425,0,140.58616261499,1,2022,2,Depression
3,6235.23508372065,4484.4402358024,0.184034227789998,1750.61081369046,0,0.719230716830643,0,132.875086340354,1,2022,2,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,0,1,0,219.790345774018,1,2022,3,Depression
3,6235.23508372065,6205.63901590048,0.184034227789998,29.4120335923791,0,0.995282791855446,0,232.721434066795,1,2022,3,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,0.0614242225242257,1,1.39258706678223e-05,144.09191862553,1,2022,4,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,39.6676664449753,1,0.00636185579410504,137.05569197935,1,2022,4,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,66.8517331197581,1,0.015156375629799,11.3177301948589,1,2022,5,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,461.314927537908,1,0.0739851699805736,7.83210935578986,1,2022,5,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,477.456293713514,1,0.108247110383364,2.03592945720021,1,2022,6,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,1308.33963632427,1,0.209830041491165,1.35697743464337,1,2022,6,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,479.922856421747,1,0.108806320282283,0.664704465035959,1,2022,7,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,1140.35320822766,1,0.182888566816826,0.54165973761795,1,2022,7,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,84.5787645672646,1,0.0191753820920303,1.70268458502849,1,2022,8,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,284.785969134494,1,0.0456736538896555,2.24582689230559,1,2022,8,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,6.50875123855055,1,0.00147563980840514,13.2070890408468,1,2022,9,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,24.5825747614809,1,0.00394252573181444,16.9213261911603,1,2022,9,Plateau
1,4410.79943864156,4371.51696339636,27.6726072358998,11.6098680092991,2.33078667100039,0.99735123612529,0.000528427262092476,61.8736107756057,1,2022,10,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,2.87878560393041,1,0.000461696402024445,57.2033999100755,1,2022,10,Plateau
1,4410.79943864156,4355.77680738025,27.6726072358998,27.3500240254107,0,0.993760156829265,0,178.358739629439,1,2022,11,Depression
3,6235.23508372065,5998.89719820752,0.184034227789998,236.153851285344,0,0.962124792658345,0,183.782267332762,1,2022,11,Plateau
1,4410.79943864156,4167.22184972237,27.6726072358998,215.904981683288,0,0.950741790053552,0,168.970280378706,1,2022,12,Depression
3,6235.23508372065,5562.5525009419,0.184034227789998,672.498548550963,0,0.892142254616237,0,189.605598527533,1,2022,12,Plateau
