SESU_ID,domain_area_km2,observed_area_km2,not_burnable_area_km2,missing_area_km2,burned_area_km2,observed_fraction_of_burnable,burned_fraction_of_domain,rainfall_mm,rain_observed_fraction,year,month,landscape_group
1,4410.79943864156,4364.7032439879,28.0098435769539,18.0863510767124,0,0.995873324355548,0,132.906989759652,1,2021,1,Depression
3,6235.23508372065,5860.27288350333,0.184034227789998,374.778165989529,0,0.939891724540088,0,139.882961472768,1,2021,1,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,0,1,0,198.50132992411,1,2021,2,Depression
3,6235.23508372065,6233.58267951976,0.184034227789998,1.46836997309792,0,0.999764497521922,0,188.720307764805,1,2021,2,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,0,1,0,212.611210653993,1,2021,3,Depression
3,6235.23508372065,6211.15371468163,0.184034227789998,23.8973348112266,0.0614003591119051,0.996167259157698,9.84732063626808e-06,205.455488817727,1,2021,3,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,0,1,0,131.735470719962,1,2021,4,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,39.4852813448216,1,0.00633260507657718,99.6517322309401,1,2021,4,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,89.1639552314955,1,0.0202149194203571,16.8892249871188,1,2021,5,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,634.751489713226,1,0.101800731037467,12.3651736061563,1,2021,5,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,569.525283016545,1,0.129120648294983,2.0382985703179,1,2021,6,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,1206.2568929889,1,0.193458125763096,1.39977332219334,1,2021,6,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,671.635650167585,1,0.152270729946052,0.605460694256147,1,2021,7,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,948.055743230837,1,0.152048115347901,0.523314159969712,1,2021,7,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,57.4217829139221,1,0.0130184524852499,2.55255538034891,1,2021,8,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,321.674061163425,1,0.0515897246606262,3.77697520487276,1,2021,8,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,25.2123804356963,1,0.00571605687051171,15.1127122594731,1,2021,9,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,47.0946484868876,1,0.00755298683282132,19.8287259495246,1,2021,9,Plateau
1,4410.79943864156,4383.12683140566,27.6726072358998,0,3.74667162743559,1,0.000849431419305135,112.499531453821,1,2021,10,Depression
3,6235.23508372065,6235.05104949286,0.184034227789998,0,2.02518837700468,1,0.000324797437436188,102.095508769702,1,2021,10,Plateau
1,4410.79943864156,4381.69889017778,27.6726072358998,1.42794122787865,16.5294063470058,0.999674218592616,0.00374748536562263,120.105224098198,1,2021,11,Depression
3,6235.23508372065,6227.02592402015,0.184034227789998,8.02512547271467,0,0.998712901400644,0,120.958922275312,1,2021,11,Plateau
1,4410.79943864156,4376.96759781129,27.6726072358998,6.159233594374,0.299263031906694,0.998594785450824,6.78477985838461e-05,198.439731119437,1,2021,12,Depression
3,6235.23508372065,6214.32816052626,0.184034227789998,20.7228889666028,0,0.99667638824412,0,187.200140799666,1,2021,12,Plateau
