SESU_ID,landscape_label,year,outcome,outcome_label,side,side_label,n,y,proportion,governance_profile,profile_label,source_file
1,Depression,2018,fire,Fire,interior_facing,Inside,7612,3455,45.3888596952181,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2019,fire,Fire,exterior_facing,Outside,10019,3941,39.3352630002994,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2019,fire,Fire,interior_facing,Inside,7612,3070,40.33105622701,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2020,fire,Fire,exterior_facing,Outside,10019,3052,30.4621219682603,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2020,fire,Fire,interior_facing,Inside,7612,3100,40.7251707829743,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2021,fire,Fire,exterior_facing,Outside,10019,3710,37.0296436770137,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2021,fire,Fire,interior_facing,Inside,7612,3071,40.3441933788755,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2022,fire,Fire,exterior_facing,Outside,10019,2841,28.3561233656054,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2022,fire,Fire,interior_facing,Inside,7612,2626,34.4981607987388,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2001,fire,Fire,exterior_facing,Outside,11987,4451,37.1318928839576,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2001,fire,Fire,interior_facing,Inside,12936,5858,45.2844774273346,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2002,fire,Fire,exterior_facing,Outside,11987,7053,58.838741970468,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2002,fire,Fire,interior_facing,Inside,12936,7531,58.217377860235,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2003,fire,Fire,exterior_facing,Outside,11987,8092,67.5064653374489,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2003,fire,Fire,interior_facing,Inside,12936,8947,69.1635745207174,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2004,fire,Fire,exterior_facing,Outside,11987,8709,72.6537081838659,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2004,fire,Fire,interior_facing,Inside,12936,9201,71.1270871985158,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2005,fire,Fire,exterior_facing,Outside,11987,8488,70.8100442145658,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2005,fire,Fire,interior_facing,Inside,12936,8951,69.1944959802103,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2006,fire,Fire,exterior_facing,Outside,11987,8225,68.6160006673897,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2006,fire,Fire,interior_facing,Inside,12936,8364,64.656771799629,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2007,fire,Fire,exterior_facing,Outside,11987,6691,55.8188037040127,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2007,fire,Fire,interior_facing,Inside,12936,7620,58.9053803339518,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2008,fire,Fire,exterior_facing,Outside,11987,7866,65.6210895136398,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2008,fire,Fire,interior_facing,Inside,12936,8514,65.8163265306123,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2009,fire,Fire,exterior_facing,Outside,11987,8131,67.8318178026195,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2009,fire,Fire,interior_facing,Inside,12936,8880,68.6456400742115,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2010,fire,Fire,exterior_facing,Outside,11987,8049,67.1477433886711,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2010,fire,Fire,interior_facing,Inside,12936,8635,66.7517006802721,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2011,fire,Fire,exterior_facing,Outside,11987,7788,64.9703845832986,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2011,fire,Fire,interior_facing,Inside,12936,8147,62.9792826221398,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2012,fire,Fire,exterior_facing,Outside,11987,7981,66.580462167348,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2012,fire,Fire,interior_facing,Inside,12936,7955,61.4950525664811,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2013,fire,Fire,exterior_facing,Outside,11987,8125,67.7817635772086,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2013,fire,Fire,interior_facing,Inside,12936,7921,61.2322201607916,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2014,fire,Fire,exterior_facing,Outside,11987,7916,66.0382080587303,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2014,fire,Fire,interior_facing,Inside,12936,8066,62.3531230674088,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2015,fire,Fire,exterior_facing,Outside,11987,7486,62.4509885709519,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2015,fire,Fire,interior_facing,Inside,12936,8158,63.0643166357452,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2016,fire,Fire,exterior_facing,Outside,11987,7468,62.3008258947193,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2016,fire,Fire,interior_facing,Inside,12936,7733,59.7789115646259,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2017,fire,Fire,exterior_facing,Outside,11987,7900,65.9047301243013,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2017,fire,Fire,interior_facing,Inside,12936,8243,63.7213976499691,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2018,fire,Fire,exterior_facing,Outside,11987,7956,66.3719028948027,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2018,fire,Fire,interior_facing,Inside,12936,8192,63.3271490414348,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2019,fire,Fire,exterior_facing,Outside,11987,6941,57.9043964294653,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2019,fire,Fire,interior_facing,Inside,12936,7808,60.3586889301175,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2020,fire,Fire,exterior_facing,Outside,11987,6722,56.0774172019688,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2020,fire,Fire,interior_facing,Inside,12936,7443,57.5371057513915,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2021,fire,Fire,exterior_facing,Outside,11987,6865,57.2703762409277,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2021,fire,Fire,interior_facing,Inside,12936,7498,57.9622758194187,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2022,fire,Fire,exterior_facing,Outside,11987,6821,56.903311921248,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2022,fire,Fire,interior_facing,Inside,12936,7790,60.2195423623995,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2001,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,10019,1,0.00998103603154007,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2001,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7612,0,0,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2002,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,10018,11,0.109802355759633,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2002,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7612,23,0.302154492905938,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2003,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,10007,8,0.0799440391725792,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
