analysis_type,outcome,threshold,spatial_domain,boundary_id,boundary_center_km,boundary_family,analysis_set,profile,estimate,standard_error,lower_interval,upper_interval,fit_validity,source_file,outcome_label,profile_label,actual_boundary,primary_spaced_outer,accepted
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+030,30,outer_pseudo,all_valid_outer,Neither actor dominant,0.0287981706560159,0.0307405501162527,-0.0314522004367881,0.0890485417488198,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+030,30,outer_pseudo,all_valid_outer,Militia dominant,0.0512504061149861,0.0334760264782087,-0.0143614001278121,0.116862212357784,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+030,30,outer_pseudo,all_valid_outer,Park dominant,0.120244207366799,0.0315849488336361,0.0583388451993321,0.182149569534266,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+035,35,outer_pseudo,all_valid_outer,Neither actor dominant,-0.32399896264637,0.0258411226911754,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+035,35,outer_pseudo,all_valid_outer,Militia dominant,-0.334426190674576,0.0282338772412429,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+035,35,outer_pseudo,all_valid_outer,Park dominant,-0.418453047777016,0.0266701652699953,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+040,40,outer_pseudo,primary_spaced_outer;all_valid_outer,Neither actor dominant,-0.314434625486242,0.0280356084728597,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Fragmented control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+040,40,outer_pseudo,primary_spaced_outer;all_valid_outer,Militia dominant,-0.349774515029481,0.0307914787169315,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Militia-centred control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+040,40,outer_pseudo,primary_spaced_outer;all_valid_outer,Park dominant,-0.484491747957798,0.0289338608571238,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Park-centred control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+045,45,outer_pseudo,all_valid_outer,Neither actor dominant,-0.127411121141015,0.0280014090646508,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+045,45,outer_pseudo,all_valid_outer,Militia dominant,-0.120106464784996,0.0308782711863623,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+045,45,outer_pseudo,all_valid_outer,Park dominant,-0.251421015929435,0.0288846873363111,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+050,50,outer_pseudo,all_valid_outer,Neither actor dominant,-0.0195157138914928,0.0209603313191364,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+050,50,outer_pseudo,all_valid_outer,Militia dominant,-0.0318845511777157,0.0231687905842296,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+050,50,outer_pseudo,all_valid_outer,Park dominant,-0.110189475673439,0.0217351056456189,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+055,55,outer_pseudo,all_valid_outer,Neither actor dominant,-0.0483377187889014,0.02274702032748,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Fragmented control,FALSE,FALSE,TRUE
