outcome,estimand_type,profile_or_comparison,estimate,standard_error,lower_95,upper_95,model,spatial_domain,threshold,fit_validity,source_file
fire,pairwise profile difference,Militia dominant minus Neither actor dominant,-0.159579306386865,0.0444340886528708,-0.246668519832352,-0.0724900929413787,Strict-valid beta-binomial,Symmetric 10 km boundary corridor,tau025,strict-valid,analysis_fire_optimizer_refinement_dev/tables/fire_10km_optimizer_pairwise_differences.csv
fire,pairwise profile difference,Park dominant minus Militia dominant,0.0571190946708212,0.0449781665061582,-0.0310364917718946,0.145274681113537,Strict-valid beta-binomial,Symmetric 10 km boundary corridor,tau025,strict-valid,analysis_fire_optimizer_refinement_dev/tables/fire_10km_optimizer_pairwise_differences.csv
fire,pairwise profile difference,Park dominant minus Neither actor dominant,-0.102460211716044,0.0426402589370402,-0.186033583524105,-0.0188868399079833,Strict-valid beta-binomial,Symmetric 10 km boundary corridor,tau025,strict-valid,analysis_fire_optimizer_refinement_dev/tables/fire_10km_optimizer_pairwise_differences.csv
tree_cover_loss,pairwise profile difference,Park dominant minus Neither actor dominant,-0.584172628184976,0.342445374778389,-1.25535322942294,0.0870079730529867,Inverse-variance-weighted two-stage HC3,Symmetric 10 km boundary corridor,tau025,accepted primary sparse-outcome fit,analysis_spatial_threshold_sensitivity_dev/tables/sparse_outcome_pairwise_differences.csv
tree_cover_loss,pairwise profile difference,Militia dominant minus Neither actor dominant,-0.0517637594727072,0.389016633079405,-0.814222349695374,0.710694830749959,Inverse-variance-weighted two-stage HC3,Symmetric 10 km boundary corridor,tau025,accepted primary sparse-outcome fit,analysis_spatial_threshold_sensitivity_dev/tables/sparse_outcome_pairwise_differences.csv
tree_cover_loss,pairwise profile difference,Park dominant minus Militia dominant,-0.532408868712269,0.402431716726428,-1.32116053973269,0.256342802308155,Inverse-variance-weighted two-stage HC3,Symmetric 10 km boundary corridor,tau025,accepted primary sparse-outcome fit,analysis_spatial_threshold_sensitivity_dev/tables/sparse_outcome_pairwise_differences.csv
agriculture,pairwise profile difference,Park dominant minus Neither actor dominant,-0.633446962428786,0.311439815058039,-1.24385778329436,-0.0230361415632143,Inverse-variance-weighted two-stage HC3,Symmetric 10 km boundary corridor,tau025,accepted primary sparse-outcome fit,analysis_spatial_threshold_sensitivity_dev/tables/sparse_outcome_pairwise_differences.csv
agriculture,pairwise profile difference,Militia dominant minus Neither actor dominant,-0.0647296164837915,0.290673749570715,-0.634439696893608,0.504980463926025,Inverse-variance-weighted two-stage HC3,Symmetric 10 km boundary corridor,tau025,accepted primary sparse-outcome fit,analysis_spatial_threshold_sensitivity_dev/tables/sparse_outcome_pairwise_differences.csv
agriculture,pairwise profile difference,Park dominant minus Militia dominant,-0.568717345944994,0.22051748120104,-1.00092366706052,-0.136511024829467,Inverse-variance-weighted two-stage HC3,Symmetric 10 km boundary corridor,tau025,accepted primary sparse-outcome fit,analysis_spatial_threshold_sensitivity_dev/tables/sparse_outcome_pairwise_differences.csv
