outcome,governance_profile,threshold_tag,spatial_design,estimate,lower_95_ci,upper_95_ci,method,reference_estimate,absolute_deviation_from_reference,ci_crosses_zero,Outcome,Profile,Domain,Threshold,Scenario,Estimand type,Profile or comparison,primary_row,fit_display
tree_cover_loss,Park-centred control,tau010,buffer_10km,-1.44277318681612,-1.88896864993014,-0.996577723702091,sparse_two_stage_weighted,-2.60387496661614,1.16110177980002,FALSE,Tree-cover loss,Park-centred control,10 km,10%,10% 10 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Park-centred control,tau010,buffer_20km,-1.77652735321961,-2.37326920099405,-1.17978550544517,sparse_two_stage_weighted,-2.60387496661614,0.827347613396529,FALSE,Tree-cover loss,Park-centred control,20 km,10%,10% 20 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Park-centred control,tau025,all_cells,-2.60387496661614,-3.40015021003157,-1.80759972320071,sparse_two_stage_weighted,-2.60387496661614,0,FALSE,Tree-cover loss,Park-centred control,All cells,25%,25% All cells,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Park-centred control,tau025,buffer_05km,-0.874189846920088,-1.4506137906919,-0.297765903148278,sparse_two_stage_weighted,-2.60387496661614,1.72968511969605,FALSE,Tree-cover loss,Park-centred control,5 km,25%,25% 5 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Park-centred control,tau025,buffer_10km,-1.43025410197535,-1.9411127128937,-0.919395491057002,sparse_two_stage_weighted,-2.60387496661614,1.17362086464079,FALSE,Tree-cover loss,Park-centred control,10 km,25%,25% 10 km,Profile contrast,Park-centred control,TRUE,accepted or diagnostic fit
tree_cover_loss,Park-centred control,tau025,buffer_20km,-1.93248235382747,-2.59491117569493,-1.27005353196001,sparse_two_stage_weighted,-2.60387496661614,0.671392612788672,FALSE,Tree-cover loss,Park-centred control,20 km,25%,25% 20 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Park-centred control,tau050,all_cells,-1.41399520982293,-1.90282307932881,-0.925167340317046,sparse_two_stage_weighted,-2.60387496661614,1.18987975679321,FALSE,Tree-cover loss,Park-centred control,All cells,50%,50% All cells,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Park-centred control,tau050,buffer_05km,0.0991727619304427,-0.280132304269128,0.478477828130013,sparse_two_stage_weighted,-2.60387496661614,2.70304772854658,TRUE,Tree-cover loss,Park-centred control,5 km,50%,50% 5 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Park-centred control,tau050,buffer_10km,-0.0182456364402126,-0.520662272407717,0.484170999527292,sparse_two_stage_weighted,-2.60387496661614,2.58562933017593,TRUE,Tree-cover loss,Park-centred control,10 km,50%,50% 10 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Park-centred control,tau050,buffer_20km,-0.610733938391843,-1.17437441510993,-0.0470934616737553,sparse_two_stage_weighted,-2.60387496661614,1.9931410282243,FALSE,Tree-cover loss,Park-centred control,20 km,50%,50% 20 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
