analysis_type,outcome,threshold,spatial_domain,boundary_id,boundary_center_km,boundary_family,analysis_set,profile_comparison,estimate,standard_error,lower_interval,upper_interval,fit_validity,source_file,outcome_label,comparison_label,Outcome,Comparison,accepted,valid_interval,fit_display_category
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+020,20,outer_pseudo,primary_spaced_outer;all_valid_outer,Park-centred control minus Militia-centred control,-0.0349180486074159,0.0430629317734059,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Militia-centred,Fire,Park-centred control minus Militia-centred control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+025,25,outer_pseudo,all_valid_outer,Park-centred control minus Fragmented control,0.136602687551553,0.0353098659137723,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Fragmented,Fire,Park-centred control minus Fragmented control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+025,25,outer_pseudo,all_valid_outer,Militia-centred control minus Fragmented control,0.0238910708378553,0.0364142742223815,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Militia-centred - Fragmented,Fire,Militia-centred control minus Fragmented control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+025,25,outer_pseudo,all_valid_outer,Park-centred control minus Militia-centred control,0.112711616713697,0.0369319806094367,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Militia-centred,Fire,Park-centred control minus Militia-centred control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+030,30,outer_pseudo,all_valid_outer,Park-centred control minus Fragmented control,0.0914460367107834,0.0440711392142576,0.00506819109318769,0.177823882328379,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Fragmented,Fire,Park-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+030,30,outer_pseudo,all_valid_outer,Militia-centred control minus Fragmented control,0.0224522354589703,0.0454438924863163,-0.0666161571315201,0.111520628049461,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Militia-centred - Fragmented,Fire,Militia-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+030,30,outer_pseudo,all_valid_outer,Park-centred control minus Militia-centred control,0.0689938012518132,0.0460201502529163,-0.0212040358070246,0.159191638310651,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Militia-centred,Fire,Park-centred control minus Militia-centred control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+035,35,outer_pseudo,all_valid_outer,Park-centred control minus Fragmented control,-0.0944540851306463,0.0371381309450537,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Fragmented,Fire,Park-centred control minus Fragmented control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+035,35,outer_pseudo,all_valid_outer,Militia-centred control minus Fragmented control,-0.010427228028206,0.0382729260241674,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Militia-centred - Fragmented,Fire,Militia-centred control minus Fragmented control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+035,35,outer_pseudo,all_valid_outer,Park-centred control minus Militia-centred control,-0.0840268571024403,0.038839401125007,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Militia-centred,Fire,Park-centred control minus Militia-centred control,FALSE,FALSE,finite non-strict fire fit
