Outcome,Diagnostic type,Scenario,Profile or comparison,Estimate,Lower 95%,Upper 95%,Domain,Model implementation,Interpretation
Agricultural expansion,transition-year shift,T1_later,Fragmented control,0.417858013092714,0.19481595022105,0.640900075964378,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T1_later,Militia-centred control,0.0743278230439114,-0.144627478254324,0.293283124342147,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T1_later,Park-centred control,-0.553814518996843,-0.789483015375269,-0.318146022618418,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T1_omit_first_new_year,Fragmented control,0.192955028712201,0.0887204425975405,0.297189614826861,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T1_omit_first_new_year,Militia-centred control,0.0577623808236798,-0.0627611877808251,0.178285949428185,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T1_omit_first_new_year,Park-centred control,0.118575296937177,0.011948465995843,0.22520212787851,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T1_omit_first_new_year,Fragmented control,-0.91949990349589,-1.10747238824981,-0.731527418741972,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T1_omit_first_new_year,Militia-centred control,-2.39934236387486,-2.99584566246258,-1.80283906528714,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T1_omit_first_new_year,Park-centred control,-3.31630001300939,-3.80924029244264,-2.82335973357614,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T1_omit_first_new_year,Fragmented control,0.458001095462704,0.204441925472806,0.711560265452601,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T1_omit_first_new_year,Militia-centred control,0.0742819112188679,-0.144675054766268,0.293238877204004,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T1_omit_first_new_year,Park-centred control,-0.553799830048768,-0.78946981393481,-0.318129846162725,complete landscape diagnostic,nlminb_default,sensitivity only
