Outcome,Diagnostic type,Scenario,Profile or comparison,Estimate,Lower 95%,Upper 95%,Domain,Model implementation,Interpretation
Tree-cover loss,transition-year shift,T6_later,Militia-centred control,-2.06612766804651,-2.54794384759817,-1.58431148849486,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T6_later,Park-centred control,-3.31635311095044,-3.80941561888559,-2.82329060301529,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T6_later,Fragmented control,0.471335314691132,0.217946155012305,0.72472447436996,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T6_later,Militia-centred control,0.103661247531533,-0.0947974108855613,0.302119905948627,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T6_later,Park-centred control,-0.553779215885915,-0.789442472759409,-0.318115959012421,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T6_omit_first_new_year,Fragmented control,0.182632269707032,0.0752284391556801,0.290036100258383,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T6_omit_first_new_year,Militia-centred control,0.0548105069300644,-0.0605098408874894,0.170130854747618,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T6_omit_first_new_year,Park-centred control,0.118581925416049,0.0122722466960951,0.224891604136003,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T6_omit_first_new_year,Fragmented control,-0.918510942857618,,,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T6_omit_first_new_year,Militia-centred control,-2.06447649642217,,,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T6_omit_first_new_year,Park-centred control,-3.2956794384494,,,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T6_omit_first_new_year,Fragmented control,0.471007193696967,0.217588126319746,0.724426261074189,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T6_omit_first_new_year,Militia-centred control,0.110540742239944,-0.0878469167450719,0.30892840122496,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T6_omit_first_new_year,Park-centred control,-0.553641766785099,-0.789289257873723,-0.317994275696476,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T7_earlier,Fragmented control,0.174330127881409,0.0676928880014679,0.28096736776135,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T7_earlier,Militia-centred control,0.0548138646140214,-0.0600588158915884,0.169686545119631,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T7_earlier,Park-centred control,0.140207861684932,0.037369524606851,0.243046198763013,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T7_earlier,Fragmented control,-0.867843746504083,-1.056989453578,-0.678698039430162,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T7_earlier,Militia-centred control,-2.07373546471079,-2.57416643546648,-1.57330449395509,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T7_earlier,Park-centred control,-3.29735743681568,-3.77673123553691,-2.81798363809446,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T7_earlier,Fragmented control,0.457363019819669,0.204119863580045,0.710606176059294,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T7_earlier,Militia-centred control,0.110808275908685,-0.0874999953377865,0.309116547155157,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T7_earlier,Park-centred control,-0.553511508742729,-0.789156880771549,-0.31786613671391,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T7_later,Fragmented control,0.199266795556255,0.0995553650540446,0.298978226058464,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T7_later,Militia-centred control,0.0548212465956067,-0.0591985347795152,0.168841027970729,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T7_later,Park-centred control,0.105959373146965,-0.00273764739136527,0.214656393685295,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T7_later,Fragmented control,-0.953527420645376,-1.14160838088516,-0.765446460405594,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T7_later,Militia-centred control,-2.0732336841548,-2.56958280728415,-1.57688456102545,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T7_later,Park-centred control,-3.29051279178749,-3.78351686502836,-2.79750871854662,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T7_later,Fragmented control,0.450492339937159,0.196903061167662,0.704081618706655,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T7_later,Militia-centred control,0.11046917506677,-0.0879135092497395,0.30885185938328,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T7_later,Park-centred control,-0.550612076857398,-0.786217768278221,-0.315006385436575,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T7_omit_first_new_year,Fragmented control,0.192963953762486,0.0891750695999605,0.296752837925011,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T7_omit_first_new_year,Militia-centred control,0.0548075897796324,-0.0603619161198036,0.169977095679068,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T7_omit_first_new_year,Park-centred control,0.105935482016888,-0.00385859457347684,0.215729558607253,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T7_omit_first_new_year,Fragmented control,-0.919447259190761,-1.10743316897837,-0.731461349403152,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T7_omit_first_new_year,Militia-centred control,-2.07055003684574,-2.56637683172587,-1.57472324196561,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T7_omit_first_new_year,Park-centred control,-3.28956195026112,-3.78232918895725,-2.796794711565,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T7_omit_first_new_year,Fragmented control,0.456996234899323,0.203384575358791,0.710607894439854,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T7_omit_first_new_year,Militia-centred control,0.110351483212789,-0.0880453990869141,0.308748365512492,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T7_omit_first_new_year,Park-centred control,-0.550870960230327,-0.786542205759656,-0.315199714700998,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T8_earlier,Fragmented control,0.192979106361127,0.089678855126544,0.29627935759571,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T8_earlier,Militia-centred control,0.0691234869814121,-0.0413803166279759,0.1796272905908,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T8_earlier,Park-centred control,0.109015143785899,-0.000234255127115807,0.218264542698913,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T8_earlier,Fragmented control,-0.919485089818808,-1.10747270908619,-0.731497470551428,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T8_earlier,Militia-centred control,-2.04227707184055,-2.49864427111131,-1.58590987256978,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T8_earlier,Park-centred control,-3.47865899934825,-4.02440008805613,-2.93291791064038,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T8_earlier,Fragmented control,0.457228695101041,0.203655748892173,0.71080164130991,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T8_earlier,Militia-centred control,0.110257289383843,-0.0881495218274977,0.308664100595183,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T8_earlier,Park-centred control,-0.553893376994878,-0.789571271771207,-0.318215482218548,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T8_later,Fragmented control,0.192990227045571,0.0899563226744643,0.296024131416679,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T8_later,Militia-centred control,0.05038946594302,-0.0685248467649666,0.169303778651007,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T8_later,Park-centred control,0.118018689232946,0.0158486333274394,0.220188745138453,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T8_later,Fragmented control,-0.91984689598119,-1.10786310383428,-0.731830688128098,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T8_later,Militia-centred control,-2.04471526375436,-2.54159254062973,-1.54783798687899,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T8_later,Park-centred control,-3.32501230759687,-3.81847645143064,-2.83154816376311,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T8_later,Fragmented control,0.457669298729018,0.204123163682005,0.711215433776032,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T8_later,Militia-centred control,0.110472836700155,-0.0879179851156048,0.308863658515914,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T8_later,Park-centred control,-0.553903544676472,-0.789583476220692,-0.318223613132252,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T8_omit_first_new_year,Fragmented control,0.19295337296489,0.0887380596378457,0.297168686291934,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T8_omit_first_new_year,Militia-centred control,0.0503842883911324,-0.0698933385444887,0.170661915326753,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T8_omit_first_new_year,Park-centred control,0.118577381462224,0.0119702749347601,0.225184487989687,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T8_omit_first_new_year,Fragmented control,-0.919444647405789,-1.10742038076261,-0.73146891404897,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T8_omit_first_new_year,Militia-centred control,-2.0439658069692,-2.54001643438521,-1.54791517955319,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T8_omit_first_new_year,Park-centred control,-3.31610635127583,-3.80900023892017,-2.82321246363149,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T8_omit_first_new_year,Fragmented control,0.457363742152852,0.203785466886545,0.710942017419159,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T8_omit_first_new_year,Militia-centred control,0.110428990676486,-0.0879675720272899,0.308825553380263,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T8_omit_first_new_year,Park-centred control,-0.553799123215681,-0.789462502600745,-0.318135743830616,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T9_earlier,Fragmented control,0.193006418898347,0.0905076617543899,0.295505176042304,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T9_earlier,Militia-centred control,0.0305963284707315,-0.0876325262782288,0.148825183219692,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T9_earlier,Park-centred control,0.132718280005066,0.0310263830476381,0.234410176962495,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T9_earlier,Fragmented control,-0.919386757208105,-1.10736955445181,-0.731403959964401,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T9_earlier,Militia-centred control,-2.01818456629541,-2.51426906180802,-1.52210007078279,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T9_earlier,Park-centred control,-3.33198812088596,-3.82497768124736,-2.83899856052455,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T9_earlier,Fragmented control,0.457250727235734,0.203665353184578,0.710836101286889,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T9_earlier,Militia-centred control,0.117526448657965,-0.0807840362073036,0.315836933523234,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T9_earlier,Park-centred control,-0.559904284916182,-0.795628352184875,-0.324180217647489,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T9_later,Fragmented control,0.192974994967677,0.0895974878701707,0.296352502065183,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T9_later,Militia-centred control,0.0753330179017305,-0.0351802209659339,0.185846256769395,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T9_later,Park-centred control,0.102980886856939,-0.0064176153400797,0.212379389053958,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T9_later,Fragmented control,-0.919072906032578,-1.10700382942744,-0.73114198263772,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T9_later,Militia-centred control,-2.16735915508576,-2.66342096007783,-1.67129735009368,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T9_later,Park-centred control,-3.28674751259079,-3.77985471846333,-2.79364030671825,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T9_later,Fragmented control,0.457865815922169,0.204412967713234,0.711318664131104,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T9_later,Militia-centred control,0.107511628754625,-0.0908652420995256,0.305888499608776,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T9_later,Park-centred control,-0.550649351742928,-0.786307006514108,-0.314991696971748,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T9_omit_first_new_year,Fragmented control,0.192969150267252,0.0894172608483334,0.296521039686171,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T9_omit_first_new_year,Militia-centred control,0.0548119417532789,-0.0600945241519118,0.16971840765847,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T9_omit_first_new_year,Park-centred control,0.102976825705779,-0.00660638597835248,0.212560037389911,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T9_omit_first_new_year,Fragmented control,-0.919382496292677,-1.10736274464383,-0.731402247941524,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T9_omit_first_new_year,Militia-centred control,-2.07282989867064,-2.56890738065748,-1.5767524166838,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T9_omit_first_new_year,Park-centred control,-3.28638447752936,-3.77939695450867,-2.79337200055004,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T9_omit_first_new_year,Fragmented control,0.459096792533174,0.205638504510813,0.712555080555535,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T9_omit_first_new_year,Militia-centred control,0.110310262880565,-0.0881013956811606,0.30872192144229,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T9_omit_first_new_year,Park-centred control,-0.551134491914257,-0.786827528001276,-0.315441455827238,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Fragmented control_2001_2003,Fragmented control,0.238937674451914,0.123927989272986,0.353947359630841,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Fragmented control_2001_2003,Militia-centred control,0.0548098290367287,-0.0605567083141308,0.170176366387588,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Fragmented control_2001_2003,Park-centred control,0.118580019784982,0.012227656839039,0.224932382730926,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Fragmented control_2001_2003,Fragmented control,-0.930039986919302,-1.1415984126703,-0.718481561168303,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Fragmented control_2001_2003,Militia-centred control,-2.07291974753572,-2.56905695117024,-1.5767825439012,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Fragmented control_2001_2003,Park-centred control,-3.31610969607121,-3.80899929974527,-2.82322009239716,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Fragmented control_2001_2003,Fragmented control,0.587906047861677,0.301213612896538,0.874598482826815,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Fragmented control_2001_2003,Militia-centred control,0.11021743746419,-0.0881924173360955,0.308627292264476,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Fragmented control_2001_2003,Park-centred control,-0.55393928661135,-0.789629807319809,-0.318248765902891,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Militia-centred control_2004_2006,Fragmented control,0.19290585593606,0.0871875329659296,0.29862417890619,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Militia-centred control_2004_2006,Militia-centred control,0.0911498472981968,-0.0429665886941619,0.225266283290556,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Militia-centred control_2004_2006,Park-centred control,0.118544885178744,0.010398744286959,0.226691026070529,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Militia-centred control_2004_2006,Fragmented control,-0.919447432859155,-1.10742792504511,-0.731466940673203,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Militia-centred control_2004_2006,Militia-centred control,-2.47374687775203,-3.17356330745134,-1.77393044805273,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Militia-centred control_2004_2006,Park-centred control,-3.31596476207456,-3.8087538774932,-2.82317564665592,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Militia-centred control_2004_2006,Fragmented control,0.457428010668261,0.203851231396718,0.711004789939803,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Militia-centred control_2004_2006,Militia-centred control,0.353183059874765,0.126549317205465,0.579816802544065,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Militia-centred control_2004_2006,Park-centred control,-0.554517255666188,-0.790262732144874,-0.318771779187501,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Fragmented control_2007_2012,Fragmented control,0.341067627848715,0.210777742759504,0.471357512937926,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Fragmented control_2007_2012,Militia-centred control,0.0548338502935568,-0.0578487371522026,0.167516437739316,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Fragmented control_2007_2012,Park-centred control,0.118633258981771,0.0147574557459689,0.222509062217573,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Fragmented control_2007_2012,Fragmented control,-1.45640747888402,-1.85276240354681,-1.06005255422123,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Fragmented control_2007_2012,Militia-centred control,-2.07260311899363,-2.56872226773617,-1.57648397025108,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Fragmented control_2007_2012,Park-centred control,-3.31631867471477,-3.80922229781164,-2.82341505161789,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Fragmented control_2007_2012,Fragmented control,-0.0927003302797806,-0.650329538558503,0.464928877998942,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Fragmented control_2007_2012,Militia-centred control,0.110447507695964,-0.0879476148138566,0.308842630205784,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Fragmented control_2007_2012,Park-centred control,-0.553737110090664,-0.789398737791374,-0.318075482389954,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Militia-centred control_2013_2016,Fragmented control,0.193123546942281,0.0948288604727152,0.291418233411846,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Militia-centred control_2013_2016,Militia-centred control,0.196260477897935,0.0636515728641918,0.328869382931677,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Militia-centred control_2013_2016,Park-centred control,0.118705077837301,0.0181605266716823,0.219249629002919,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Militia-centred control_2013_2016,Fragmented control,-0.91915692721939,-1.10710390229904,-0.73120995213974,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Militia-centred control_2013_2016,Militia-centred control,-2.10844905170094,-2.81310462634481,-1.40379347705707,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Militia-centred control_2013_2016,Park-centred control,-3.31590430399366,-3.8087004762308,-2.82310813175651,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Militia-centred control_2013_2016,Fragmented control,0.458253634367429,0.204755392868578,0.71175187586628,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Militia-centred control_2013_2016,Militia-centred control,-0.515635641304756,-0.93889405040314,-0.0923772322063709,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Militia-centred control_2013_2016,Park-centred control,-0.553743625594816,-0.789384936025726,-0.318102315163906,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Park-centred control_2017_2022,Fragmented control,0.193447747216181,0.105908980609002,0.280986513823361,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Park-centred control_2017_2022,Militia-centred control,0.055031029583815,-0.0421055687158736,0.152167627883504,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU1_Park-centred control_2017_2022,Park-centred control,0.347743349175818,0.231139188514513,0.464347509837123,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Park-centred control_2017_2022,Fragmented control,-0.919274829618094,-1.10722811457196,-0.731321544664226,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Park-centred control_2017_2022,Militia-centred control,-2.07275557062942,-2.56880935842228,-1.57670178283655,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU1_Park-centred control_2017_2022,Park-centred control,-4.50034497625592,-5.63521839302549,-3.36547155948636,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Park-centred control_2017_2022,Fragmented control,0.457242036196634,0.203663431608007,0.710820640785261,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Park-centred control_2017_2022,Militia-centred control,0.110300046718934,-0.0880979706294924,0.308698064067361,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU1_Park-centred control_2017_2022,Park-centred control,-16.2754905875838,-2155.27657189816,2122.72559072299,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Fragmented control_2001_2003,Fragmented control,0.104061398591442,-0.00574878460572006,0.213871581788604,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Fragmented control_2001_2003,Militia-centred control,0.0548699284217586,-0.0550260099726953,0.164765866816213,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Fragmented control_2001_2003,Park-centred control,0.118686555989064,0.0173821569427784,0.21999095503535,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Fragmented control_2001_2003,Fragmented control,-0.891621907183426,-1.07950135500925,-0.703742459357597,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Fragmented control_2001_2003,Militia-centred control,-2.0730510278826,-2.56922586878652,-1.57687618697867,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Fragmented control_2001_2003,Park-centred control,-3.31609317577757,-3.8090463191969,-2.82314003235824,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Fragmented control_2001_2003,Fragmented control,0.464586284194766,0.211123022947955,0.718049545441577,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Fragmented control_2001_2003,Militia-centred control,0.110722500631896,-0.0876500290018891,0.30909503026568,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Fragmented control_2001_2003,Park-centred control,-0.553727700721203,-0.789384182475971,-0.318071218966434,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Militia-centred control_2004_2006,Fragmented control,0.193058482558381,0.0925159963951816,0.293600968721581,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Militia-centred control_2004_2006,Militia-centred control,-0.0386335511946995,-0.164665002913395,0.0873979005239963,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Militia-centred control_2004_2006,Park-centred control,0.118656794818292,0.0158105774544214,0.221503012182163,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Militia-centred control_2004_2006,Fragmented control,-0.9193372280941,-1.10730857796811,-0.731365878220089,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Militia-centred control_2004_2006,Militia-centred control,-1.96087046685594,-2.4567670072618,-1.46497392645009,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Militia-centred control_2004_2006,Park-centred control,-3.31603404981722,-3.80890476996421,-2.82316332967023,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Militia-centred control_2004_2006,Fragmented control,0.456844966363822,0.20321726397561,0.710472668752035,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Militia-centred control_2004_2006,Militia-centred control,0.109827409458833,-0.0886304519564844,0.308285270874151,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Militia-centred control_2004_2006,Park-centred control,-0.554277264859954,-0.789989420680227,-0.318565109039682,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Fragmented control_2007_2010,Fragmented control,0.119428000749775,0.000382780558106269,0.238473220941443,complete landscape diagnostic,nlminb_default,sensitivity only
