Outcome,Boundary centre,Boundary role,Profile,Estimate,Lower 95%,Upper 95%,Fit validity,Event support
Fire,15,dense outer gradient,Militia-centred control,0.223644487474911,0.132990553296413,0.31429842165341,strict-valid,476487
Fire,15,dense outer gradient,Park-centred control,0.0802187672895008,-0.00349091990655176,0.163928454485553,strict-valid,476487
Fire,20,primary spaced outer boundary,Fragmented control,0.422192783824508,,,finite/numerically stable but not strict-valid,426962
Fire,20,primary spaced outer boundary,Militia-centred control,0.513085650744062,,,finite/numerically stable but not strict-valid,426962
Fire,20,primary spaced outer boundary,Park-centred control,0.478167602136646,,,finite/numerically stable but not strict-valid,426962
Fire,25,dense outer gradient,Fragmented control,0.418500331035162,,,finite/numerically stable but not strict-valid,380743
Fire,25,dense outer gradient,Militia-centred control,0.442391401873017,,,finite/numerically stable but not strict-valid,380743
Fire,25,dense outer gradient,Park-centred control,0.555103018586715,,,finite/numerically stable but not strict-valid,380743
Fire,30,dense outer gradient,Fragmented control,0.0287981706560159,-0.0314522004367881,0.0890485417488198,strict-valid,357419
Fire,30,dense outer gradient,Militia-centred control,0.0512504061149861,-0.0143614001278121,0.116862212357784,strict-valid,357419
Fire,30,dense outer gradient,Park-centred control,0.120244207366799,0.0583388451993321,0.182149569534266,strict-valid,357419
Fire,35,dense outer gradient,Fragmented control,-0.32399896264637,,,finite/numerically stable but not strict-valid,367973
Fire,35,dense outer gradient,Militia-centred control,-0.334426190674576,,,finite/numerically stable but not strict-valid,367973
Fire,35,dense outer gradient,Park-centred control,-0.418453047777016,,,finite/numerically stable but not strict-valid,367973
Fire,40,primary spaced outer boundary,Fragmented control,-0.314434625486242,,,finite/numerically stable but not strict-valid,404121
Fire,40,primary spaced outer boundary,Militia-centred control,-0.349774515029481,,,finite/numerically stable but not strict-valid,404121
Fire,40,primary spaced outer boundary,Park-centred control,-0.484491747957798,,,finite/numerically stable but not strict-valid,404121
Fire,45,dense outer gradient,Fragmented control,-0.127411121141015,,,finite/numerically stable but not strict-valid,431887
Fire,45,dense outer gradient,Militia-centred control,-0.120106464784996,,,finite/numerically stable but not strict-valid,431887
Fire,45,dense outer gradient,Park-centred control,-0.251421015929435,,,finite/numerically stable but not strict-valid,431887
Fire,50,dense outer gradient,Fragmented control,-0.0195157138914928,,,finite/numerically stable but not strict-valid,451498
Fire,50,dense outer gradient,Militia-centred control,-0.0318845511777157,,,finite/numerically stable but not strict-valid,451498
Fire,50,dense outer gradient,Park-centred control,-0.110189475673439,,,finite/numerically stable but not strict-valid,451498
Fire,55,dense outer gradient,Fragmented control,-0.0483377187889014,,,finite/numerically stable but not strict-valid,455504
Fire,55,dense outer gradient,Militia-centred control,-0.143152924133479,,,finite/numerically stable but not strict-valid,455504
Fire,55,dense outer gradient,Park-centred control,-0.14742078288561,,,finite/numerically stable but not strict-valid,455504
Fire,60,primary spaced outer boundary,Fragmented control,-0.147988085708985,-0.220821264593506,-0.0751549068244649,strict-valid,446426
Fire,60,primary spaced outer boundary,Militia-centred control,-0.207741115149407,-0.288625908833947,-0.126856321464867,strict-valid,446426
Fire,60,primary spaced outer boundary,Park-centred control,-0.130092966382015,-0.205281533426843,-0.054904399337187,strict-valid,446426
Tree-cover loss,0,legal boundary,Fragmented control,-0.846081473790374,-1.29294886235021,-0.399214085230542,accepted two-stage estimate,519
Tree-cover loss,0,legal boundary,Militia-centred control,-0.897845233263081,-1.50861927253348,-0.287071193992687,accepted two-stage estimate,519
Tree-cover loss,0,legal boundary,Park-centred control,-1.43025410197535,-1.9411127128937,-0.919395491057002,accepted two-stage estimate,519
Tree-cover loss,-15,inner descriptive check,Fragmented control,0.270553613703501,-0.0420397403850911,0.583146967792093,accepted two-stage estimate,10
Tree-cover loss,-15,inner descriptive check,Militia-centred control,0.592841245944301,0.350716548596293,0.83496594329231,accepted two-stage estimate,10
Tree-cover loss,-15,inner descriptive check,Park-centred control,0.54446498369417,0.0615745524827684,1.02735541490557,accepted two-stage estimate,10
Tree-cover loss,-20,inner descriptive check,Fragmented control,1.09701286442814,1.05423043764327,1.13979529121302,accepted two-stage estimate,2
Tree-cover loss,-20,inner descriptive check,Militia-centred control,1.10058490251396,1.0545131198111,1.14665668521682,accepted two-stage estimate,2
