authoritative_burned_and_definitely_burned,authoritative_unburned_and_definitely_unburned,authoritative_unburned_but_missingness_ambiguous,authoritative_burned_but_missingness_ambiguous,authoritative_classified_with_any_unobserved_native_area,year
110145,94266,0,0,0,2021
106503,97908,0,0,0,2022
