year,native_pixels,seasonal_burned,known_pixels,genuinely_unobserved,genuinely_unobserved_fraction,any_minus2_and_positive,any_minus2_and_seasonal,any_minus1_and_known
2021,1573221,787198,1573221,0,0,0,0,3781
2022,1573221,757802,1573221,0,0,0,0,5993
