k,silhouette_mean
2,0.265275660389187
3,0.281244940840895
4,0.239804864913651
5,0.263962364754442
6,0.272010352564951
7,0.280720241540755
8,0.272239709681535
9,0.260682748745123
10,0.250796771786916
11,0.262726558308082
12,0.254708370211653
13,0.246461839397945
14,0.231423993849973
15,0.232945416222409
