run_id,outcome,governance_profile,estimate,standard_error,conf_low,conf_high,odds_ratio,landscape_group,fit_status,warning_messages
SESU1__agriculture,agriculture,Neither actor dominant,0.54805753412131,0.274541150178918,0.00996676749642833,1.08614830074619,1.72988950083718,Depression,valid,""
SESU1__agriculture,agriculture,Militia dominant,0.478008021641304,0.136592700972296,0.210291247184554,0.745724796098055,1.61285842110346,Depression,valid,""
SESU1__agriculture,agriculture,Park dominant,-0.0977088812939918,0.187841221003548,-0.465870909272975,0.270453146684992,0.906912884632607,Depression,valid,""
SESU1__fire,fire,Neither actor dominant,0.239812396111478,0.0333925947974693,0.174364112958099,0.305260679264858,1.27101068140707,Depression,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
SESU1__fire,fire,Militia dominant,0.119261842493128,0.03730015014233,0.046154891596225,0.192368793390032,1.12666488841211,Depression,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
SESU1__fire,fire,Park dominant,0.223215582994902,0.0411849019868019,0.142494658393958,0.303936507595846,1.2500900428438,Depression,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
SESU1__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.157404927194347,0.252921313692212,-0.653121592953638,0.338311738564945,0.854358035962911,Depression,valid,""
SESU1__tree_cover_loss,tree_cover_loss,Militia dominant,-0.256327251367438,0.372508839607325,-0.986431160920602,0.473776658185727,0.773888671222619,Depression,valid,""
SESU1__tree_cover_loss,tree_cover_loss,Park dominant,-0.675845814198165,0.325997924579175,-1.31479000540815,-0.0369016229881768,0.508725950952249,Depression,valid,""
SESU3__agriculture,agriculture,Neither actor dominant,-0.0761883331426532,5.63222268118361e-09,-0.0761883441816068,-0.0761883221036996,0.926641672786302,Plateau,valid,""
SESU3__agriculture,agriculture,Militia dominant,-0.07623004499715,2.04345519662336e-05,-0.076270095983044,-0.076189994011256,0.926603021649787,Plateau,valid,""
SESU3__agriculture,agriculture,Park dominant,-0.502306605862029,0.287259033598291,-1.06532396594846,0.0607107542244029,0.605133244799726,Plateau,valid,""
SESU3__fire,fire,Neither actor dominant,0.0801376359925027,0.0299968109205747,0.0213449669371185,0.138930305047887,1.08343617722687,Plateau,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
SESU3__fire,fire,Militia dominant,-0.12606939923417,0.0330496795123571,-0.190845580778981,-0.061293217689359,0.881553665511208,Plateau,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
SESU3__fire,fire,Park dominant,-0.0324463422027635,0.0260785577733554,-0.0835593762072871,0.01866669180176,0.96807439317721,Plateau,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
SESU3__tree_cover_loss,tree_cover_loss,Neither actor dominant,-1.5092337403683,0.341771057242544,-2.17909270352186,-0.839374777214736,0.221079317228365,Plateau,valid,""
SESU3__tree_cover_loss,tree_cover_loss,Militia dominant,-1.32510811301701,0.56734909153397,-2.4370918990851,-0.213124326948906,0.265774223882444,Plateau,valid,""
SESU3__tree_cover_loss,tree_cover_loss,Park dominant,-2.23896759469778,0.536774379609495,-3.29102604655622,-1.18690914283934,0.106568469458138,Plateau,valid,""
