run_id,outcome,governance_profile,estimate,standard_error,conf_low,conf_high,odds_ratio,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id
threshold_tau050__tree_cover_loss,tree_cover_loss,Militia dominant,-0.334486397764769,0.245641373991916,-0.815934643901859,0.146961848372321,0.715705579957346,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau050
threshold_tau050__tree_cover_loss,tree_cover_loss,Park dominant,-0.0182456364402126,0.256339728653436,-0.520662272407717,0.484170999527292,0.981919807446624,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau050
threshold_tau050__agriculture,agriculture,Neither actor dominant,-0.213604557093766,0.158628643633833,-0.524510985532519,0.0973018713449862,0.807667708347309,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau050
threshold_tau050__agriculture,agriculture,Militia dominant,0.117149976429353,0.157635559956228,-0.191810043767659,0.426109996626365,1.12428803375177,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau050
threshold_tau050__agriculture,agriculture,Park dominant,0.181109355312305,0.191185787872414,-0.19360790327354,0.55582661389815,1.19854623952534,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau050
domain_5km__fire,fire,Neither actor dominant,0.0918953749821996,0.0363456942030454,0.0206591233511244,0.163131626613275,1.0962501208922,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_5km
domain_5km__fire,fire,Militia dominant,0.0217321279958277,0.0401544884434792,-0.0569692231710212,0.100433479162677,1.02196999065163,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_5km
domain_5km__fire,fire,Park dominant,0.0111694051517056,0.0374285970396099,-0.0621892970377922,0.0845281073412034,1.01123201584837,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_5km
domain_5km__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.269069791875303,0.227798531076121,-0.715546708515628,0.177407124765023,0.764089926518379,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_5km
domain_5km__tree_cover_loss,tree_cover_loss,Militia dominant,-0.381615789227368,0.287430980441907,-0.944970158934542,0.181738580479807,0.682757325537801,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_5km
domain_5km__tree_cover_loss,tree_cover_loss,Park dominant,-0.874189846920088,0.294099253005958,-1.4506137906919,-0.297765903148278,0.41719987856788,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_5km
domain_5km__agriculture,agriculture,Neither actor dominant,0.316465009565712,0.22234655148649,-0.11932622343449,0.752256242565914,1.37226822513499,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_5km
domain_5km__agriculture,agriculture,Militia dominant,0.448932268607617,0.186015798240504,0.0843480035007602,0.813516533714473,1.56663854299598,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_5km
domain_5km__agriculture,agriculture,Park dominant,-0.128234216763598,0.161741373320933,-0.445241483282673,0.188773049755477,0.879647326865131,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_5km
domain_20km__fire,fire,Neither actor dominant,0.19400625478059,0.0242212787394717,,,1.21410387688585,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_20km
domain_20km__fire,fire,Militia dominant,0.0316945923110094,0.0270171024637974,,,1.03220221466852,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_20km
domain_20km__fire,fire,Park dominant,0.13355510565198,0.0248938666543491,,,1.14288424378127,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_20km
domain_20km__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.986132733969093,0.229919678562638,-1.43676702328889,-0.535498444649298,0.373016459125852,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_20km
domain_20km__tree_cover_loss,tree_cover_loss,Militia dominant,-1.40017809124029,0.358982070117002,-2.10377001976524,-0.69658616271533,0.24655305109281,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_20km
domain_20km__tree_cover_loss,tree_cover_loss,Park dominant,-1.93248235382747,0.337980099171524,-2.59491117569493,-1.27005353196001,0.144788336135198,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_20km
domain_20km__agriculture,agriculture,Neither actor dominant,0.225220552709169,0.228466886033895,-0.222566315577282,0.673007420995621,1.25259894982059,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_20km
domain_20km__agriculture,agriculture,Militia dominant,0.201193451065005,0.147704536353924,-0.0883021205418738,0.490689022671884,1.22286131276635,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_20km
