run_id,outcome,profile_comparison,estimate,standard_error,conf_low,conf_high,odds_ratio,specification,lag,transition_years_excluded
lag0__fire,fire,Neither actor dominant minus Militia dominant,0.159579306386865,0.0444340886528708,0.0724900929413787,0.246668519832352,1.17301728629468,lag0,0,0
lag0__fire,fire,Neither actor dominant minus Park dominant,0.102460211716044,0.0426402589370402,0.0188868399079833,0.186033583524105,1.10789321986281,lag0,0,0
lag0__fire,fire,Militia dominant minus Park dominant,-0.0571190946708212,0.0449781665061582,-0.145274681113537,0.0310364917718946,0.944481579945351,lag0,0,0
lag0__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Militia dominant,0.0517637594727072,0.389016633079405,-0.710694830749959,0.814222349695374,1.05312692186443,lag0,0,0
lag0__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Park dominant,0.584172628184976,0.342445374778389,-0.0870079730529867,1.25535322942294,1.79350647489602,lag0,0,0
lag0__tree_cover_loss,tree_cover_loss,Militia dominant minus Park dominant,0.532408868712269,0.402431716726428,-0.256342802308155,1.32116053973269,1.70302974661481,lag0,0,0
lag0__agriculture,agriculture,Neither actor dominant minus Militia dominant,0.0647296164837915,0.290673749570715,-0.504980463926025,0.634439696893608,1.06687052117984,lag0,0,0
lag0__agriculture,agriculture,Neither actor dominant minus Park dominant,0.633446962428786,0.311439815058039,0.0230361415632143,1.24385778329436,1.88409379967632,lag0,0,0
lag0__agriculture,agriculture,Militia dominant minus Park dominant,0.568717345944994,0.22051748120104,0.136511024829467,1.00092366706052,1.76600043048591,lag0,0,0
lag1__fire,fire,Neither actor dominant minus Militia dominant,0.0369608141094968,0.0456687595727886,-0.0525483098717876,0.126469938090781,1.03765235870976,lag1,1,0
lag1__fire,fire,Neither actor dominant minus Park dominant,0.0243874331267374,0.0457427791582609,-0.0652667665762234,0.114041632829698,1.02468723877635,lag1,1,0
lag1__fire,fire,Militia dominant minus Park dominant,-0.0125733809827594,0.048016523736544,-0.106684038169198,0.0815372762036794,0.987505333723204,lag1,1,0
