robustness_run_id,outcome,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,eligible_cells,cell_years,events,group_years,historical_episodes,fit_validity_status,warning_messages
omit_SESU1_2013_2016,tree_cover_loss,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2013_2016,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,861747,488,40,10,valid,""
omit_SESU1_2017_2022,agriculture,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2017_2022,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,828390,333,38,10,valid,""
omit_SESU1_2017_2022,fire,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2017_2022,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,830402,468674,38,10,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
omit_SESU1_2017_2022,tree_cover_loss,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2017_2022,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,827411,463,38,10,valid,""
omit_SESU3_2001_2003,agriculture,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2001_2003,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42519,856888,518,41,10,valid,""
omit_SESU3_2001_2003,fire,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2001_2003,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,861419,466388,41,10,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
omit_SESU3_2001_2003,tree_cover_loss,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2001_2003,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42508,856200,517,41,10,valid,""
omit_SESU3_2004_2006,agriculture,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2004_2006,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,856888,518,41,10,valid,""
omit_SESU3_2004_2006,fire,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2004_2006,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,861419,456382,41,10,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
omit_SESU3_2004_2006,tree_cover_loss,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2004_2006,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,856206,512,41,10,valid,""
omit_SESU3_2007_2010,agriculture,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2007_2010,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,831965,518,40,10,valid,""
omit_SESU3_2007_2010,fire,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2007_2010,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,836496,443934,40,10,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
omit_SESU3_2007_2010,tree_cover_loss,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2007_2010,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,831354,493,40,10,valid,""
omit_SESU3_2011_2012,agriculture,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2011_2012,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,881812,517,42,10,valid,""
omit_SESU3_2011_2012,fire,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2011_2012,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,886342,476449,42,10,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
omit_SESU3_2011_2012,tree_cover_loss,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2011_2012,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,881194,507,42,10,valid,""
omit_SESU3_2013_2015,agriculture,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2013_2015,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,856891,518,41,10,valid,""
omit_SESU3_2013_2015,fire,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2013_2015,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,861419,460648,41,10,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
omit_SESU3_2013_2015,tree_cover_loss,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2013_2015,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,856346,515,41,10,valid,""
omit_SESU3_2016_2022,agriculture,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2016_2022,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,757213,516,37,10,valid,""
omit_SESU3_2016_2022,fire,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2016_2022,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,761727,402940,37,10,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
omit_SESU3_2016_2022,tree_cover_loss,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2016_2022,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,757022,455,37,10,valid,""
primary,agriculture,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,931657,518,44,11,valid,""
primary,fire,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,508320,44,11,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
primary,tree_cover_loss,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,930969,519,44,11,valid,""
threshold_tau010,agriculture,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,929491,882,44,11,valid,""
threshold_tau010,fire,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,554256,44,11,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
threshold_tau010,tree_cover_loss,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,915624,2073,44,11,valid,""
threshold_tau050,agriculture,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,933813,227,44,11,valid,""
threshold_tau050,fire,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,445507,44,11,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
threshold_tau050,tree_cover_loss,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,935337,79,44,11,valid,""
transition_SESU1_2004_earlier,agriculture,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,931657,518,44,11,valid,""
transition_SESU1_2004_earlier,fire,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,508320,44,11,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
