run_id,outcome,eligible_cells,cell_years,events,group_years,historical_episodes,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id
transition_SESU1_2004_later__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_later
transition_SESU1_2004_later__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_later
transition_SESU1_2007_earlier__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2007_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2007_earlier
transition_SESU1_2007_earlier__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2007_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2007_earlier
transition_SESU1_2007_earlier__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2007_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2007_earlier
transition_SESU1_2007_later__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2007_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2007_later
transition_SESU1_2007_later__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2007_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2007_later
transition_SESU1_2007_later__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2007_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2007_later
transition_SESU1_2013_earlier__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2013_earlier
transition_SESU1_2013_earlier__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2013_earlier
transition_SESU1_2013_earlier__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2013_earlier
transition_SESU1_2013_later__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2013_later
transition_SESU1_2013_later__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2013_later
transition_SESU1_2013_later__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2013_later
transition_SESU1_2017_earlier__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2017_earlier
transition_SESU1_2017_earlier__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2017_earlier
transition_SESU1_2017_earlier__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2017_earlier
transition_SESU1_2017_later__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2017_later
transition_SESU1_2017_later__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2017_later
transition_SESU1_2017_later__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2017_later
transition_SESU3_2004_earlier__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2004_earlier
transition_SESU3_2004_earlier__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2004_earlier
transition_SESU3_2004_earlier__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2004_earlier
transition_SESU3_2004_later__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2004_later
transition_SESU3_2004_later__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2004_later
transition_SESU3_2004_later__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2004_later
transition_SESU3_2007_earlier__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2007_earlier
transition_SESU3_2007_earlier__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2007_earlier
transition_SESU3_2007_earlier__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2007_earlier
transition_SESU3_2007_later__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2007_later
transition_SESU3_2007_later__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2007_later
transition_SESU3_2007_later__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2007_later
transition_SESU3_2011_earlier__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2011_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2011_earlier
transition_SESU3_2011_earlier__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2011_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2011_earlier
transition_SESU3_2011_earlier__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2011_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2011_earlier
transition_SESU3_2011_later__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2011_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2011_later
transition_SESU3_2011_later__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2011_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2011_later
transition_SESU3_2011_later__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2011_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2011_later
transition_SESU3_2013_earlier__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2013_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2013_earlier
transition_SESU3_2013_earlier__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2013_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2013_earlier
transition_SESU3_2013_earlier__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2013_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2013_earlier
transition_SESU3_2013_later__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2013_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2013_later
transition_SESU3_2013_later__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2013_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2013_later
transition_SESU3_2013_later__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2013_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2013_later
transition_SESU3_2016_earlier__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2016_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2016_earlier
transition_SESU3_2016_earlier__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2016_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2016_earlier
transition_SESU3_2016_earlier__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2016_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2016_earlier
transition_SESU3_2016_later__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2016_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2016_later
transition_SESU3_2016_later__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2016_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2016_later
transition_SESU3_2016_later__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,transition_SESU3_2016_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU3_2016_later
omit_SESU1_2001_2003__fire,fire,42554,883295,488832,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2001_2003,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2001_2003
omit_SESU1_2001_2003__tree_cover_loss,tree_cover_loss,42508,878112,475,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2001_2003,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2001_2003
omit_SESU1_2001_2003__agriculture,agriculture,42519,878799,483,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2001_2003,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2001_2003
omit_SESU1_2004_2006__fire,fire,42554,883295,480331,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2004_2006,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2004_2006
omit_SESU1_2004_2006__tree_cover_loss,tree_cover_loss,42554,878235,495,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2004_2006,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2004_2006
omit_SESU1_2004_2006__agriculture,agriculture,42554,878959,457,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2004_2006,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2004_2006
omit_SESU1_2007_2012__fire,fire,42554,830402,459187,38,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2007_2012,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2007_2012
omit_SESU1_2007_2012__tree_cover_loss,tree_cover_loss,42554,825863,270,38,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2007_2012,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2007_2012
omit_SESU1_2007_2012__agriculture,agriculture,42554,826645,431,38,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2007_2012,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2007_2012
omit_SESU1_2013_2016__fire,fire,42554,865664,479435,40,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2013_2016,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2013_2016
omit_SESU1_2013_2016__tree_cover_loss,tree_cover_loss,42554,861747,488,40,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2013_2016,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2013_2016
omit_SESU1_2013_2016__agriculture,agriculture,42554,862120,371,40,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2013_2016,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2013_2016
omit_SESU1_2017_2022__fire,fire,42554,830402,468674,38,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2017_2022,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2017_2022
omit_SESU1_2017_2022__tree_cover_loss,tree_cover_loss,42554,827411,463,38,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2017_2022,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2017_2022
omit_SESU1_2017_2022__agriculture,agriculture,42554,828390,333,38,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2017_2022,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU1_2017_2022
omit_SESU3_2001_2003__fire,fire,42554,861419,466388,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2001_2003,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2001_2003
omit_SESU3_2001_2003__tree_cover_loss,tree_cover_loss,42508,856200,517,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2001_2003,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2001_2003
omit_SESU3_2001_2003__agriculture,agriculture,42519,856888,518,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2001_2003,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2001_2003
omit_SESU3_2004_2006__fire,fire,42554,861419,456382,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2004_2006,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2004_2006
omit_SESU3_2004_2006__tree_cover_loss,tree_cover_loss,42554,856206,512,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2004_2006,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2004_2006
omit_SESU3_2004_2006__agriculture,agriculture,42554,856888,518,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2004_2006,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2004_2006
omit_SESU3_2007_2010__fire,fire,42554,836496,443934,40,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2007_2010,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2007_2010
omit_SESU3_2007_2010__tree_cover_loss,tree_cover_loss,42554,831354,493,40,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2007_2010,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2007_2010
omit_SESU3_2007_2010__agriculture,agriculture,42554,831965,518,40,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2007_2010,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2007_2010
omit_SESU3_2011_2012__fire,fire,42554,886342,476449,42,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2011_2012,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2011_2012
omit_SESU3_2011_2012__tree_cover_loss,tree_cover_loss,42554,881194,507,42,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2011_2012,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2011_2012
omit_SESU3_2011_2012__agriculture,agriculture,42554,881812,517,42,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2011_2012,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2011_2012
omit_SESU3_2013_2015__fire,fire,42554,861419,460648,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2013_2015,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2013_2015
omit_SESU3_2013_2015__tree_cover_loss,tree_cover_loss,42554,856346,515,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2013_2015,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2013_2015
omit_SESU3_2013_2015__agriculture,agriculture,42554,856891,518,41,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2013_2015,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2013_2015
omit_SESU3_2016_2022__fire,fire,42554,761727,402940,37,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2016_2022,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2016_2022
omit_SESU3_2016_2022__tree_cover_loss,tree_cover_loss,42554,757022,455,37,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2016_2022,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2016_2022
omit_SESU3_2016_2022__agriculture,agriculture,42554,757213,516,37,10,directly_matched,tau025,10,inverse_variance,primary,0,SESU3_2016_2022,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,omit_SESU3_2016_2022
