run_id,outcome,governance_profile,estimate,standard_error,conf_low,conf_high,odds_ratio,boundary_center_km,design_membership,comparison_direction,result_type,fit_validity_status,warning_messages,design,legal_rank,legal_percentile_among_offsets
boundary_15__fire,fire,Militia dominant,0.223644487474911,0.0462528571410318,0.132990553296413,0.31429842165341,1.25062632706272,15,dense;non_adjacent,park-facing minus outward-facing,profile,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",dense,7,0.6
boundary_15__fire,fire,Park dominant,0.0802187672895008,0.0427098088823794,-0.00349091990655176,0.163928454485553,1.08352408137498,15,dense;non_adjacent,park-facing minus outward-facing,profile,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",dense,7,0.6
boundary_15__fire,fire,Neither actor dominant minus Militia dominant,-0.109251257010739,0.0621878094423686,-0.231137123795221,0.0126346097737439,0.89650513599706,15,dense;non_adjacent,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",dense,11,1
boundary_15__fire,fire,Neither actor dominant minus Park dominant,0.0341744631746722,0.0595996913255098,-0.0826387853130312,0.150987711662376,1.03476511938902,15,dense;non_adjacent,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",dense,9,0.8
boundary_15__fire,fire,Militia dominant minus Park dominant,0.143425720185411,0.0629559601726758,0.0200343056348282,0.266817134735993,1.15422107229558,15,dense;non_adjacent,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",dense,4,0.3
boundary_15__tree_cover_loss,tree_cover_loss,Neither actor dominant,0.21468390004868,0.143341536195558,-0.0662603483832574,0.495628148480617,1.23947003861725,15,dense;non_adjacent,park-facing minus outward-facing,profile,valid,"",dense,1,0
boundary_15__tree_cover_loss,tree_cover_loss,Militia dominant,0.200523485712963,0.235390675470375,-0.260833760505528,0.661880731931454,1.222042312438,15,dense;non_adjacent,park-facing minus outward-facing,profile,valid,"",dense,1,0
boundary_15__tree_cover_loss,tree_cover_loss,Park dominant,-0.568106587736471,0.162964293081332,-0.887510732941911,-0.24870244253103,0.566597225847776,15,dense;non_adjacent,park-facing minus outward-facing,profile,valid,"",dense,1,0
boundary_15__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Militia dominant,0.0141604143357168,0.261200181532354,-0.497782534223022,0.526103362894455,1.01426114791761,15,dense;non_adjacent,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,valid,"",dense,7,0.6
boundary_15__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Park dominant,0.782790487785151,0.19372582933364,0.403094839416062,1.16248613615424,2.18756813848265,15,dense;non_adjacent,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,valid,"",dense,9,0.8
