park_side,governance_profile_at_event,landscape_group,event_year,corridor_domain,event_cells,persistent,transient_reversed,intermittent,right_censored,missing_uncertain,classifiable_fraction,persistent_fraction_among_classifiable
outside,Park dominant,Depression,2020,10km,14,11,0,3,0,0,1,0.785714285714286
inside,Park dominant,Depression,2020,10km,7,6,0,1,0,0,1,0.857142857142857
outside,Park dominant,Depression,2021,10km,20,0,0,0,20,0,0,
inside,Park dominant,Depression,2021,10km,8,0,0,0,8,0,0,
outside,Park dominant,Depression,2022,10km,17,0,0,0,17,0,0,
inside,Park dominant,Depression,2022,10km,10,0,0,0,10,0,0,
outside,Park dominant,Plateau,2011,10km,1,1,0,0,0,0,1,1
outside,Park dominant,Plateau,2017,10km,2,2,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2001,20km,4,4,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2001,20km,5,4,1,0,0,0,1,0.8
outside,Neither actor dominant,Depression,2002,20km,14,13,0,1,0,0,1,0.928571428571429
inside,Neither actor dominant,Depression,2002,20km,6,6,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2003,20km,4,4,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2003,20km,4,4,0,0,0,0,1,1
outside,Militia dominant,Depression,2004,20km,22,19,1,2,0,0,1,0.863636363636364
inside,Militia dominant,Depression,2004,20km,20,13,5,2,0,0,1,0.65
outside,Militia dominant,Depression,2005,20km,6,5,1,0,0,0,1,0.833333333333333
inside,Militia dominant,Depression,2005,20km,3,2,0,1,0,0,1,0.666666666666667
outside,Militia dominant,Depression,2006,20km,14,14,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2007,20km,9,9,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2007,20km,2,2,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2008,20km,5,5,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2008,20km,6,6,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2009,20km,11,11,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2009,20km,9,9,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2010,20km,19,19,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2010,20km,10,10,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2011,20km,9,9,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2011,20km,2,2,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2012,20km,10,9,0,1,0,0,1,0.9
outside,Neither actor dominant,Depression,2012,20km,4,4,0,0,0,0,1,1
outside,Militia dominant,Depression,2013,20km,26,24,2,0,0,0,1,0.923076923076923
inside,Militia dominant,Depression,2013,20km,25,25,0,0,0,0,1,1
outside,Militia dominant,Depression,2014,20km,21,21,0,0,0,0,1,1
inside,Militia dominant,Depression,2014,20km,26,25,1,0,0,0,1,0.961538461538461
outside,Militia dominant,Depression,2015,20km,9,9,0,0,0,0,1,1
inside,Militia dominant,Depression,2015,20km,14,14,0,0,0,0,1,1
outside,Militia dominant,Depression,2016,20km,12,11,1,0,0,0,1,0.916666666666667
inside,Militia dominant,Depression,2016,20km,22,21,1,0,0,0,1,0.954545454545455
inside,Park dominant,Depression,2017,20km,22,19,2,1,0,0,1,0.863636363636364
outside,Park dominant,Depression,2017,20km,38,35,2,1,0,0,1,0.921052631578947
outside,Park dominant,Depression,2018,20km,26,20,5,1,0,0,1,0.769230769230769
inside,Park dominant,Depression,2018,20km,22,20,0,2,0,0,1,0.909090909090909
outside,Park dominant,Depression,2019,20km,15,13,2,0,0,0,1,0.866666666666667
