outcome,governance_profile,domain_20km,domain_5km,domain_full,lag_1,lag_2,omit_SESU1_2001_2003,omit_SESU1_2004_2006,omit_SESU1_2007_2012,omit_SESU1_2013_2016,omit_SESU1_2017_2022,omit_SESU3_2001_2003,omit_SESU3_2004_2006,omit_SESU3_2007_2010,omit_SESU3_2011_2012,omit_SESU3_2013_2015,omit_SESU3_2016_2022,primary,threshold_tau010,threshold_tau050,transition_SESU1_2004_earlier,transition_SESU1_2004_later,transition_SESU1_2007_earlier,transition_SESU1_2007_later,transition_SESU1_2013_earlier,transition_SESU1_2013_later,transition_SESU1_2017_earlier,transition_SESU1_2017_later,transition_SESU3_2004_earlier,transition_SESU3_2004_later,transition_SESU3_2007_earlier,transition_SESU3_2007_later,transition_SESU3_2011_earlier,transition_SESU3_2011_later,transition_SESU3_2013_earlier,transition_SESU3_2013_later,transition_SESU3_2016_earlier,transition_SESU3_2016_later,weight_unweighted
agriculture,Militia dominant,0.201193451065005,0.448932268607617,0.163892757837478,0.130478977814595,0.125330358149119,0.182309894583846,0.353745329387554,0.305587269464935,-0.12691601095806,0.183402506355545,0.229363381355879,0.225619589337159,0.232510378539415,0.229372002081345,0.225627082881182,0.1797943628124,0.221756230967078,-0.318243792657785,0.117149976429353,0.211022366669476,0.290573720501297,0.258582381767001,0.167599599815185,0.2723998025562,0.24698431245569,0.107736599603703,0.158755324896693,0.222826856352282,0.220700138004542,0.220700138004542,0.222826856352282,0.234502965351109,0.203279670788539,0.210121845950215,0.233572460516814,0.233572460516814,0.210121845950215,-0.0533925245988146
agriculture,Neither actor dominant,0.225220552709169,0.316465009565712,0.562739843664829,0.252312328385233,0.30999083439695,0.513415158743359,0.268266967171368,-0.195782509398104,0.33461419978026,0.250443546310827,0.296770753004598,0.28941640948053,0.301025509011285,0.29364264691935,0.289422093730729,0.247052850949277,0.286485847450869,0.112932772855509,-0.213604557093766,0.306030585136533,0.209197696722473,0.235513688785615,0.369996631542625,0.212672444194901,0.250497613071661,0.267226391196563,0.307223857461641,0.28862554016114,0.284439508622398,0.284439508622398,0.28862554016114,0.299578357388966,0.254760673260029,0.275641837554189,0.297277932095661,0.297277932095661,0.275641837554189,0.240968936247477
agriculture,Park dominant,-0.529291276377136,-0.128234216763598,-0.573161177144788,-0.381513152873633,-0.593885295474136,-0.384369559827023,-0.365346794966272,-0.267460987264571,-0.298392132103013,-0.206597493209811,-0.339746968066689,-0.344003722710292,-0.33676255224067,-0.337736327542295,-0.343997986418955,-0.397788445306069,-0.346961114977916,-1.12463716205984,0.181109355312305,-0.348964880510522,-0.34341593165228,-0.343201854718443,-0.354145885427995,-0.341071509349982,-0.344178667997699,-0.216761312287028,-0.377518555832648,-0.345732536457448,-0.348153203384414,-0.348153203384414,-0.345732536457448,-0.332231787166515,-0.360181476857657,-0.360834034913781,-0.333416133252687,-0.333416133252687,-0.360834034913781,-0.28496339313118
fire,Militia dominant,0.0316945923110094,0.0217321279958277,0.0548347374827201,0.0584838662361479,0.110554670463383,0.0106153197203119,-0.0264928985655545,0.0107742311453525,-0.036399542773969,0.0103291796782114,0.0107152931988337,0.0436353076555547,0.0107248583348014,0.0106365923291727,0.0555989804329396,0.0107833194943551,0.0107091233715076,-0.0108903922289631,0.0199556553177914,0.0454291709448907,-0.00570770757637212,0.00509707752858429,0.0403723742876446,0.0220136281841099,0.0138937470684387,-0.00615971405720162,0.0106875089478288,0.0151333044454178,0.0169831606581463,0.0258829129730809,0.0194185478405834,0.0106783894624868,0.0107443562603036,-0.00584494291550738,0.0352582286952917,0.00940056897459424,0.00211537323536123,0.0107091233715076
fire,Neither actor dominant,0.19400625478059,0.0918953749821996,0.193025930296142,0.0954446803456448,0.0601493514853469,0.130777570197253,0.170297067934806,0.159518212564687,0.170292313873617,0.17010149055953,0.179469408119261,0.170300774760788,0.212427581267919,0.170255618781143,0.170262333770614,0.17031970964634,0.170288429758373,0.155682820053635,0.179420681653883,0.149124381066578,0.171820703853921,0.164314077527748,0.153665263501964,0.170692455581086,0.158354317067945,0.170277422170276,0.170286918822868,0.176118928063245,0.157589425672662,0.150607750637962,0.173426795769396,0.182246026173895,0.155264381685058,0.170269918576808,0.170297794014585,0.170288803025631,0.170278934423915,0.170288429758373
fire,Park dominant,0.13355510565198,0.0111694051517056,0.111946599754164,0.0710572472189073,0.0583845700084939,0.0677374413118391,0.0678471148876965,0.0678900453546844,0.0678365142978425,-0.0324304040269076,0.0678345398171318,0.0678557998163389,0.0678433091898947,0.101296503192737,0.0677716283076598,0.128674007904328,0.0678282180423288,0.0435302539969729,0.0887079230885564,0.0679192857968753,0.067789255571961,0.0678318160534684,0.0679082638786811,0.0678498565535889,0.0678609813875847,0.0768633505352922,0.071994920468647,0.0678231796375305,0.067868483402963,0.0678944105212023,0.0678387454786915,0.0627013844240561,0.0787228914033449,0.0880992050619499,0.0461343185925794,0.0652223126951949,0.0804718542060721,0.0678282180423288
tree_cover_loss,Militia dominant,-1.40017809124029,-0.381615789227368,-1.78735867378529,-1.27243492696908,-1.3464509332465,-0.880590662324087,-1.01803145556788,-0.988947257679731,-0.683380177704,-0.858182233159424,-0.924187757744403,-0.922786412939785,-0.867263985634305,-0.955517660029929,-0.942030417990687,-0.808899252037968,-0.897845233263081,-1.16978085292463,-0.334486397764769,-1.00466389599735,-0.987194132369171,-0.813375085849961,-0.962780958627301,-1.04821548751618,-0.968600362738553,-0.683280114951576,-1.01531133168684,-0.89997879022778,-0.926841772626952,-0.855327997020581,-0.892483337214303,-0.891889516438692,-0.901863896391817,-0.89426989481194,-0.906352671254954,-0.927414257432899,-0.870204915477548,-0.880725173015031
tree_cover_loss,Neither actor dominant,-0.986132733969093,-0.269069791875303,-1.1717332924866,-0.787362499410854,-0.925328119445026,-0.935269010576764,-0.833282659285216,-0.375182186714404,-0.868920185343999,-0.794973521875728,-0.890383567803784,-0.855449052095012,-0.794650818066466,-0.920395560125188,-0.862676846712021,-0.731469696578015,-0.846081473790374,-0.882619985667311,0.0540757058438248,-0.816253388163381,-0.828275523755674,-0.867385753768468,-0.827810596563314,-0.685976442049124,-0.830569108162971,-0.848591779982266,-0.852241907917835,-0.843934102012337,-0.840162493352154,-0.856890572464532,-0.843341671866691,-0.847222455994842,-0.849337361539983,-0.883115571779319,-0.841647943317477,-0.846010011071219,-0.8472529817386,-0.881260072325685
tree_cover_loss,Park dominant,-1.93248235382747,-0.874189846920088,-2.60387496661614,-1.39539364416429,-1.45554017474392,-1.42277859255666,-1.42595078380751,-1.46972387749144,-1.43793311336497,-1.60637180447646,-1.44166694965313,-1.43340374289645,-1.41700483570889,-1.60737691987157,-1.43583392890127,-1.15708434446147,-1.43025410197535,-1.44277318681612,-0.0182456364402126,-1.42813913732557,-1.42782312438418,-1.43213812233898,-1.42898120660986,-1.43822069241496,-1.42845983464094,-1.50215273454605,-1.36710315900575,-1.42983055999729,-1.42996543108622,-1.43117798745634,-1.42940638333581,-1.3528247849842,-1.45549269398057,-1.55359273953697,-1.40672065881445,-1.39793456409818,-1.46402890839777,-1.76166446100849
