record_type,outcome,profile,omitted_episode,estimate,standard_error,conf_low,conf_high,fit_status,episode_id
profile,agriculture,Neither actor dominant,SESU1_2001_2003,0.513415158743359,0.19594978484458,0.129360637669609,0.897469679817109,valid,
profile,agriculture,Militia dominant,SESU1_2001_2003,0.182309894583846,0.136967539675505,-0.0861415502312059,0.450761339398897,valid,
profile,agriculture,Park dominant,SESU1_2001_2003,-0.384369559827023,0.156621677079732,-0.691342406101561,-0.0773967135524855,valid,
profile,fire,Neither actor dominant,SESU1_2001_2003,0.130777570197253,0.0315263151883139,,,finite_not_strict_valid,
profile,fire,Militia dominant,SESU1_2001_2003,0.0106153197203119,0.0318448551404144,,,finite_not_strict_valid,
profile,fire,Park dominant,SESU1_2001_2003,0.0677374413118391,0.0294703663488872,,,finite_not_strict_valid,
profile,tree_cover_loss,Neither actor dominant,SESU1_2001_2003,-0.935269010576764,0.169453696332204,-1.26739215243507,-0.603145868718457,valid,
profile,tree_cover_loss,Militia dominant,SESU1_2001_2003,-0.880590662324087,0.310724830953978,-1.48960014009618,-0.271581184551994,valid,
profile,tree_cover_loss,Park dominant,SESU1_2001_2003,-1.42277859255666,0.260236784071872,-1.93283331679006,-0.912723868323262,valid,
profile,agriculture,Neither actor dominant,SESU1_2004_2006,0.268266967171368,0.230016460519278,-0.182557011297796,0.719090945640532,valid,
profile,agriculture,Militia dominant,SESU1_2004_2006,0.353745329387554,0.15345822744289,0.0529727304681346,0.654517928306974,valid,
profile,agriculture,Park dominant,SESU1_2004_2006,-0.365346794966272,0.15807482722583,-0.675167763191291,-0.0555258267412533,valid,
profile,fire,Neither actor dominant,SESU1_2004_2006,0.170297067934806,0.0299930230357608,,,finite_not_strict_valid,
profile,fire,Militia dominant,SESU1_2004_2006,-0.0264928985655545,0.038267208389813,,,finite_not_strict_valid,
profile,fire,Park dominant,SESU1_2004_2006,0.0678471148876965,0.0308080961301909,,,finite_not_strict_valid,
profile,tree_cover_loss,Neither actor dominant,SESU1_2004_2006,-0.833282659285216,0.229525970589142,-1.28314529515653,-0.383420023413899,valid,
profile,tree_cover_loss,Militia dominant,SESU1_2004_2006,-1.01803145556788,0.445728731580693,-1.89164371634076,-0.144419194794998,valid,
profile,tree_cover_loss,Park dominant,SESU1_2004_2006,-1.42595078380751,0.26106411735797,-1.93762705148487,-0.914274516130156,valid,
profile,agriculture,Neither actor dominant,SESU1_2007_2012,-0.195782509398104,0.301763811415665,-0.787228711610345,0.395663692814136,valid,
profile,agriculture,Militia dominant,SESU1_2007_2012,0.305587269464935,0.145190471737496,0.0210191739610622,0.590155364968808,valid,
profile,agriculture,Park dominant,SESU1_2007_2012,-0.267460987264571,0.16488270214985,-0.590625145151921,0.0557031706227791,valid,
profile,fire,Neither actor dominant,SESU1_2007_2012,0.159518212564687,0.0391996272951632,0.082688354858774,0.2363480702706,strict_valid,
profile,fire,Militia dominant,SESU1_2007_2012,0.0107742311453525,0.0338983180135794,-0.0556652512977484,0.0772137135884534,strict_valid,
profile,fire,Park dominant,SESU1_2007_2012,0.0678900453546844,0.0313776162999461,0.0063910474860731,0.129389043223296,strict_valid,
profile,tree_cover_loss,Neither actor dominant,SESU1_2007_2012,-0.375182186714404,0.857131905287199,-2.05512985107751,1.3047654776487,valid,
profile,tree_cover_loss,Militia dominant,SESU1_2007_2012,-0.988947257679731,0.350992257903321,-1.67687944202263,-0.301015073336828,valid,
profile,tree_cover_loss,Park dominant,SESU1_2007_2012,-1.46972387749144,0.278761451687214,-2.01608628307648,-0.9233614719064,valid,
profile,agriculture,Neither actor dominant,SESU1_2013_2016,0.33461419978026,0.236576518834135,-0.129067256722507,0.798295656283027,valid,
profile,agriculture,Militia dominant,SESU1_2013_2016,-0.12691601095806,0.394321673508341,-0.899772289357969,0.64594026744185,valid,
