run_id,outcome,governance_profile,estimate,standard_error,conf_low,conf_high,odds_ratio,specification,lag,transition_years_excluded
lag0__fire,fire,Neither actor dominant,0.170288429758373,0.0297450591051261,0.111989185194311,0.228587674322435,1.18564677782075,lag0,0,0
lag0__fire,fire,Militia dominant,0.0107091233715076,0.0330098626703633,-0.0539890185970177,0.0754072653400329,1.01076667127895,lag0,0,0
lag0__fire,fire,Park dominant,0.0678282180423288,0.0305524668753538,0.00794648332778246,0.127709952756875,1.07018145482248,lag0,0,0
lag0__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.846081473790374,0.227997755104005,-1.29294886235021,-0.399214085230542,0.429093054297882,lag0,0,0
lag0__tree_cover_loss,tree_cover_loss,Militia dominant,-0.897845233263081,0.311625133975982,-1.50861927253348,-0.287071193992687,0.407446667053411,lag0,0,0
lag0__tree_cover_loss,tree_cover_loss,Park dominant,-1.43025410197535,0.260646937876377,-1.9411127128937,-0.919395491057002,0.239248121099066,lag0,0,0
lag0__agriculture,agriculture,Neither actor dominant,0.286485847450869,0.229996977828128,-0.16429994564532,0.737271640547059,1.33173932025468,lag0,0,0
lag0__agriculture,agriculture,Militia dominant,0.221756230967078,0.137786166542745,-0.048299693024539,0.491812154958695,1.24826705192109,lag0,0,0
lag0__agriculture,agriculture,Park dominant,-0.346961114977916,0.158116616597485,-0.656863988866315,-0.0370582410895171,0.706832812932916,lag0,0,0
lag1__fire,fire,Neither actor dominant,0.0954446803456448,0.0305979321701716,0.035473835290709,0.155415525400581,1.10014796054562,lag1,1,0
lag1__fire,fire,Militia dominant,0.0584838662361479,0.0339032995109829,-0.00796537976245286,0.124933112234749,1.06022788009036,lag1,1,0
lag1__fire,fire,Park dominant,0.0710572472189073,0.0340031459595838,0.00441230577706453,0.13770218866075,1.07364268716704,lag1,1,0
lag1__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.787362499410854,0.246588962314377,-1.27066798453214,-0.304057014289569,0.455043391151122,lag1,1,0
lag1__tree_cover_loss,tree_cover_loss,Militia dominant,-1.27243492696908,0.332681734875672,-1.9244791456397,-0.620390708298459,0.280148649120451,lag1,1,0
lag1__tree_cover_loss,tree_cover_loss,Park dominant,-1.39539364416429,0.274615150044058,-1.93362944785971,-0.857157840468874,0.247735497537799,lag1,1,0
lag1__agriculture,agriculture,Neither actor dominant,0.252312328385233,0.164395490845607,-0.0698969128929413,0.574521569663407,1.28699794050724,lag1,1,0
lag1__agriculture,agriculture,Militia dominant,0.130478977814595,0.213200089827942,-0.287385519748875,0.548343475378064,1.13937398751058,lag1,1,0
lag1__agriculture,agriculture,Park dominant,-0.381513152873633,0.234509722241838,-0.841143762492126,0.0781174567448601,0.682827404856461,lag1,1,0
lag2__fire,fire,Neither actor dominant,0.0601493514853469,0.0310397955766358,-0.000687529932344999,0.120986232903039,1.06199514525396,lag2,2,0
lag2__fire,fire,Militia dominant,0.110554670463383,0.0341278489010282,0.0436653157475432,0.177444025179223,1.11689740868191,lag2,2,0
lag2__fire,fire,Park dominant,0.0583845700084939,0.0373093534125064,-0.0147404189664951,0.131509558983483,1.06012260868803,lag2,2,0
lag2__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.925328119445026,0.178974952047811,-1.27611257959352,-0.574543659296533,0.396401330749252,lag2,2,0
lag2__tree_cover_loss,tree_cover_loss,Militia dominant,-1.3464509332465,0.266282134174662,-1.8683543259553,-0.824547540537696,0.260161956248266,lag2,2,0
lag2__tree_cover_loss,tree_cover_loss,Park dominant,-1.45554017474392,0.322613101416809,-2.08785023446163,-0.823230115026202,0.233274320965021,lag2,2,0
