run_id,outcome,profile_comparison,estimate,standard_error,conf_low,conf_high,odds_ratio,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id
threshold_tau050__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Park dominant,0.0723213422840374,0.32855722789386,-0.571638991248247,0.716281675816322,1.07500073175749,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,threshold_tau050
threshold_tau050__tree_cover_loss,tree_cover_loss,Militia dominant minus Park dominant,-0.316240761324557,0.355262059959655,-1.01254160391899,0.380060081269877,0.728883941977361,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,threshold_tau050
threshold_tau050__agriculture,agriculture,Neither actor dominant minus Militia dominant,-0.330754533523119,0.234775422838923,-0.79090590674257,0.129396839696332,0.718381485972155,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,threshold_tau050
threshold_tau050__agriculture,agriculture,Neither actor dominant minus Park dominant,-0.394713912406071,0.280856808472722,-0.94518314182547,0.155755317013328,0.673872798322049,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,threshold_tau050
threshold_tau050__agriculture,agriculture,Militia dominant minus Park dominant,-0.063959378882952,0.278995180470823,-0.610779884466017,0.482861126700113,0.938043103115507,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,threshold_tau050
domain_5km__fire,fire,Neither actor dominant minus Militia dominant,0.0701632469863719,0.0541595720673358,-0.0359875636837077,0.176314057656452,1.07268327927439,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_5km
domain_5km__fire,fire,Neither actor dominant minus Park dominant,0.080725969830494,0.0521707494883552,-0.0215268202131435,0.182978759874132,1.08407378693653,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_5km
domain_5km__fire,fire,Militia dominant minus Park dominant,0.0105627228441221,0.0548920083224668,-0.0970236365069858,0.11814908219523,1.01061870533662,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_5km
domain_5km__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Militia dominant,0.112545997352065,0.36088394155343,-0.594773530691514,0.819865525395645,1.11912373245723,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_5km
domain_5km__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Park dominant,0.605120055044786,0.335491741124699,-0.0524316746702584,1.26267178475983,1.83147207314937,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_5km
