run_id,outcome,model,fit_status,warning_messages,convergence_code,pdHess,maximum_absolute_gradient,model_matrix_rank,model_matrix_columns,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id,n_observations,rank,zero_corrected
lag_1__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_1,42,4,21
lag_1__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_1,42,4,22
lag_2__fire,fire,beta_binomial_logit,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.00022126078005158,43,43,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_2,,,
lag_2__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_2,40,4,20
lag_2__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_2,40,4,21
transition_SESU1_2004_earlier__fire,fire,beta_binomial_logit,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.00273167789078599,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_earlier,,,
transition_SESU1_2004_earlier__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_earlier,44,4,23
transition_SESU1_2004_earlier__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_earlier,44,4,23
transition_SESU1_2004_later__fire,fire,beta_binomial_logit,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.00115172903222849,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_later,,,
transition_SESU1_2004_later__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_later,44,4,23
