k,silhouette_mean
2,0.251440254786702
3,0.270407389443984
4,0.228383923313871
5,0.233849469296027
6,0.24060849040407
7,0.260680561000788
8,0.251238932123871
9,0.237662765692864
10,0.223296220146729
11,0.240806683222841
12,0.231572878719996
13,0.229288757277202
14,0.218504759956145
15,0.217877267079711
