file,scope,n_positive_jd,n_zero_observed_unburned,n_minus1_not_observed,n_minus2_nonburnable,n_na,n_other,n_total,basename,year,month,p_positive_jd,p_zero_observed_unburned,p_minus1_not_observed,p_minus2_nonburnable,p_na,p_other
C:/0_Documents/Chapter_1/data/fire/20211001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20211001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,full_native,2298986,311756416,10488919,693647711,0,0,1018192032,20211001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2021,10,0.00225791002850826,0.306186265657204,0.0103015135361028,0.681254310778185,0,0
C:/0_Documents/Chapter_1/data/fire/20211001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20211001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,template_extent,1458,1026404,38,34070,0,0,1061970,20211001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2021,10,0.00137292013898698,0.966509411753628,3.57825550627607e-05,0.0320818855523226,0,0
C:/0_Documents/Chapter_1/data/fire/20220401-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220401-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,full_native,140165,315304364,9100822,693646681,0,0,1018192032,20220401-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,4,0.000137660672638224,0.309670822487835,0.00893821765833658,0.68125329918119,0,0
C:/0_Documents/Chapter_1/data/fire/20220401-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220401-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,template_extent,913,1026987,0,34070,0,0,1061970,20220401-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,4,0.000859722967692119,0.967058391479985,0,0.0320818855523226,0,0
C:/0_Documents/Chapter_1/data/fire/20220501-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220501-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,full_native,898846,313544073,10102673,693646440,0,0,1018192032,20220501-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,5,0.000882786322963486,0.307941982598426,0.0099221685914745,0.681253062487136,0,0
C:/0_Documents/Chapter_1/data/fire/20220501-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220501-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,template_extent,36819,991081,0,34070,0,0,1061970,20220501-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,5,0.0346704709172576,0.93324764353042,0,0.0320818855523226,0,0
C:/0_Documents/Chapter_1/data/fire/20220601-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220601-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,full_native,3750833,305626604,15165803,693648792,0,0,1018192032,20220601-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,6,0.00368381688533976,0.300165974977891,0.0148948356728056,0.681255372463964,0,0
C:/0_Documents/Chapter_1/data/fire/20220601-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220601-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,template_extent,164872,863028,0,34070,0,0,1061970,20220601-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,6,0.15525108995546,0.812667024492217,0,0.0320818855523226,0,0
C:/0_Documents/Chapter_1/data/fire/20220701-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220701-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,full_native,6074181,289472906,28991622,693653323,0,0,1018192032,20220701-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,7,0.0059656536381145,0.284300895020165,0.0284736288331119,0.681259822508609,0,0
C:/0_Documents/Chapter_1/data/fire/20220701-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220701-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,template_extent,213511,814389,0,34070,0,0,1061970,20220701-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,7,0.201051818789608,0.766866295658069,0,0.0320818855523226,0,0
C:/0_Documents/Chapter_1/data/fire/20220801-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220801-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,full_native,6523219,287701182,30313415,693654216,0,0,1018192032,20220801-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,8,0.00640666867838934,0.28256082640411,0.0297718053641182,0.681260699553383,0,0
C:/0_Documents/Chapter_1/data/fire/20220801-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220801-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,template_extent,83960,943940,0,34070,0,0,1061970,20220801-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,8,0.0790606137649839,0.888857500682694,0,0.0320818855523226,0,0
C:/0_Documents/Chapter_1/data/fire/20220901-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220901-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,full_native,4369623,299837396,20333044,693651969,0,0,1018192032,20220901-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,9,0.00429155096747015,0.294480202728595,0.0199697536034146,0.68125849270052,0,0
C:/0_Documents/Chapter_1/data/fire/20220901-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220901-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,template_extent,13310,1014590,0,34070,0,0,1061970,20220901-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,9,0.0125333107338249,0.955384803713853,0,0.0320818855523226,0,0
C:/0_Documents/Chapter_1/data/fire/20221001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20221001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,full_native,2616149,310430489,11498580,693646814,0,0,1018192032,20221001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,10,0.00256940627875587,0.304884028988355,0.0112931349280093,0.68125342980488,0,0
C:/0_Documents/Chapter_1/data/fire/20221001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20221001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,template_extent,4429,1020113,3342,34086,0,0,1061970,20221001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,10,0.00417055095718335,0.960585515598369,0.00314698155315122,0.0320969518912964,0,0
