analysis,SESU_ID,side,year,governance_profile,n,y,outcome,landscape_group
first_crossing_restricted,1,outside,2011,Neither actor dominant,9934,2,agriculture,Depression
first_crossing_restricted,1,inside,2011,Neither actor dominant,7538,9,agriculture,Depression
persistence_corrected,1,outside,2011,Neither actor dominant,9939,2,agriculture,Depression
persistence_corrected,1,inside,2011,Neither actor dominant,7542,9,agriculture,Depression
annual_presence,1,outside,2011,Neither actor dominant,10019,320,agriculture,Depression
annual_presence,1,inside,2011,Neither actor dominant,7612,179,agriculture,Depression
first_crossing_full,1,outside,2012,Neither actor dominant,9932,3,agriculture,Depression
first_crossing_full,1,inside,2012,Neither actor dominant,7529,10,agriculture,Depression
first_crossing_restricted,1,outside,2012,Neither actor dominant,9932,3,agriculture,Depression
first_crossing_restricted,1,inside,2012,Neither actor dominant,7529,10,agriculture,Depression
persistence_corrected,1,outside,2012,Neither actor dominant,9937,3,agriculture,Depression
persistence_corrected,1,inside,2012,Neither actor dominant,7533,9,agriculture,Depression
annual_presence,1,outside,2012,Neither actor dominant,10019,324,agriculture,Depression
annual_presence,1,inside,2012,Neither actor dominant,7612,188,agriculture,Depression
first_crossing_full,1,outside,2013,Militia dominant,9929,22,agriculture,Depression
first_crossing_full,1,inside,2013,Militia dominant,7519,25,agriculture,Depression
first_crossing_restricted,1,outside,2013,Militia dominant,9929,22,agriculture,Depression
first_crossing_restricted,1,inside,2013,Militia dominant,7519,25,agriculture,Depression
persistence_corrected,1,outside,2013,Militia dominant,9934,20,agriculture,Depression
persistence_corrected,1,inside,2013,Militia dominant,7524,25,agriculture,Depression
annual_presence,1,outside,2013,Militia dominant,10019,342,agriculture,Depression
annual_presence,1,inside,2013,Militia dominant,7612,213,agriculture,Depression
first_crossing_full,1,outside,2014,Militia dominant,9907,20,agriculture,Depression
first_crossing_full,1,inside,2014,Militia dominant,7494,26,agriculture,Depression
first_crossing_restricted,1,outside,2014,Militia dominant,9907,20,agriculture,Depression
first_crossing_restricted,1,inside,2014,Militia dominant,7494,26,agriculture,Depression
persistence_corrected,1,outside,2014,Militia dominant,9914,20,agriculture,Depression
persistence_corrected,1,inside,2014,Militia dominant,7499,25,agriculture,Depression
annual_presence,1,outside,2014,Militia dominant,10019,355,agriculture,Depression
annual_presence,1,inside,2014,Militia dominant,7612,236,agriculture,Depression
first_crossing_full,1,outside,2015,Militia dominant,9887,8,agriculture,Depression
first_crossing_full,1,inside,2015,Militia dominant,7468,14,agriculture,Depression
first_crossing_restricted,1,outside,2015,Militia dominant,9887,8,agriculture,Depression
first_crossing_restricted,1,inside,2015,Militia dominant,7468,14,agriculture,Depression
persistence_corrected,1,outside,2015,Militia dominant,9894,8,agriculture,Depression
persistence_corrected,1,inside,2015,Militia dominant,7474,14,agriculture,Depression
annual_presence,1,outside,2015,Militia dominant,10019,358,agriculture,Depression
annual_presence,1,inside,2015,Militia dominant,7612,246,agriculture,Depression
first_crossing_full,1,outside,2016,Militia dominant,9879,10,agriculture,Depression
first_crossing_full,1,inside,2016,Militia dominant,7454,22,agriculture,Depression
first_crossing_restricted,1,outside,2016,Militia dominant,9879,10,agriculture,Depression
first_crossing_restricted,1,inside,2016,Militia dominant,7454,22,agriculture,Depression
persistence_corrected,1,outside,2016,Militia dominant,9886,9,agriculture,Depression
persistence_corrected,1,inside,2016,Militia dominant,7460,22,agriculture,Depression
annual_presence,1,outside,2016,Militia dominant,10019,362,agriculture,Depression
annual_presence,1,inside,2016,Militia dominant,7612,263,agriculture,Depression
first_crossing_full,1,outside,2017,Park dominant,9869,28,agriculture,Depression
first_crossing_full,1,inside,2017,Park dominant,7432,22,agriculture,Depression
first_crossing_restricted,1,outside,2017,Park dominant,9869,28,agriculture,Depression
first_crossing_restricted,1,inside,2017,Park dominant,7432,22,agriculture,Depression
persistence_corrected,1,outside,2017,Park dominant,9877,26,agriculture,Depression
