analysis,governance_profile,estimate,replicate
annual_presence,Park dominant,0.55048991942397,9
first_crossing_full,Neither actor dominant,0.310735663111808,10
first_crossing_full,Militia dominant,-0.179609358471276,10
first_crossing_full,Park dominant,-0.479110193774728,10
first_crossing_restricted,Neither actor dominant,0.244288751838111,10
first_crossing_restricted,Militia dominant,-0.248129335960822,10
first_crossing_restricted,Park dominant,-0.264655279273345,10
persistence_corrected,Neither actor dominant,0.277403125978784,10
persistence_corrected,Militia dominant,-0.290307153869865,10
persistence_corrected,Park dominant,-0.178388571347992,10
annual_presence,Neither actor dominant,-0.481356698177553,10
annual_presence,Militia dominant,-0.386470841725046,10
annual_presence,Park dominant,-0.296422151608098,10
first_crossing_full,Neither actor dominant,0.751938923849059,11
first_crossing_full,Militia dominant,0.264773999023242,11
first_crossing_full,Park dominant,-0.0619962476139048,11
first_crossing_restricted,Neither actor dominant,0.704276072994643,11
first_crossing_restricted,Militia dominant,0.214095653115527,11
first_crossing_restricted,Park dominant,0.0072605535111,11
persistence_corrected,Neither actor dominant,0.800847747505888,11
persistence_corrected,Militia dominant,0.0612358291939069,11
persistence_corrected,Park dominant,0.112620153431277,11
annual_presence,Neither actor dominant,-0.305517554863686,11
annual_presence,Militia dominant,-0.183528046355581,11
annual_presence,Park dominant,0.09176588097953,11
first_crossing_full,Neither actor dominant,0.646881316606642,12
first_crossing_full,Militia dominant,0.154095032350953,12
first_crossing_full,Park dominant,-0.306717327487249,12
first_crossing_restricted,Neither actor dominant,0.573988246536151,12
first_crossing_restricted,Militia dominant,0.0779197889703249,12
first_crossing_restricted,Park dominant,-0.172910112879852,12
persistence_corrected,Neither actor dominant,0.56001413955165,12
persistence_corrected,Militia dominant,0.0391979802774661,12
persistence_corrected,Park dominant,-0.089525484588906,12
annual_presence,Neither actor dominant,-0.248209813859946,12
annual_presence,Militia dominant,-0.167995031651393,12
annual_presence,Park dominant,-0.0997134523635627,12
first_crossing_full,Neither actor dominant,0.016751108620533,13
first_crossing_full,Militia dominant,0.125040473278448,13
first_crossing_full,Park dominant,-0.551034982209489,13
first_crossing_restricted,Neither actor dominant,-0.0564296653448148,13
first_crossing_restricted,Militia dominant,0.0460271565675061,13
first_crossing_restricted,Park dominant,-0.394751477185099,13
persistence_corrected,Neither actor dominant,0.00704704114092475,13
persistence_corrected,Militia dominant,0.0648797531333852,13
persistence_corrected,Park dominant,-0.504099034647841,13
annual_presence,Neither actor dominant,-1.52472746483979,13
annual_presence,Militia dominant,-1.36988490508756,13
annual_presence,Park dominant,-1.33988903971663,13
first_crossing_full,Neither actor dominant,0.432597141364771,14
first_crossing_full,Militia dominant,0.485042070051607,14
first_crossing_full,Park dominant,-0.111880918817866,14
first_crossing_restricted,Neither actor dominant,0.366156227833187,14
first_crossing_restricted,Militia dominant,0.407245174338736,14
first_crossing_restricted,Park dominant,0.0480385284092861,14
persistence_corrected,Neither actor dominant,0.483187383306569,14
persistence_corrected,Militia dominant,0.382599701510021,14
persistence_corrected,Park dominant,-0.00314197918656201,14
annual_presence,Neither actor dominant,-1.51548501903509,14
annual_presence,Militia dominant,-1.20630546847593,14
annual_presence,Park dominant,-0.911517051799769,14
first_crossing_full,Neither actor dominant,0.639284994624924,15
first_crossing_full,Militia dominant,0.0562922322278959,15
first_crossing_full,Park dominant,-0.455143361621113,15
first_crossing_restricted,Neither actor dominant,0.571151229067946,15
first_crossing_restricted,Militia dominant,-0.0161515768166887,15
first_crossing_restricted,Park dominant,-0.338484669988417,15
persistence_corrected,Neither actor dominant,0.558588410626122,15
persistence_corrected,Militia dominant,-0.0897348649201753,15
persistence_corrected,Park dominant,-0.19355346073664,15
annual_presence,Neither actor dominant,-0.150199596955028,15
annual_presence,Militia dominant,-0.106495342267542,15
annual_presence,Park dominant,-0.0126059643235511,15
first_crossing_full,Neither actor dominant,0.328523806194765,16
first_crossing_full,Militia dominant,-0.146318086001441,16
first_crossing_full,Park dominant,-0.655367471340523,16
first_crossing_restricted,Neither actor dominant,0.257670155502808,16
first_crossing_restricted,Militia dominant,-0.224705253148192,16
first_crossing_restricted,Park dominant,-0.561906124593535,16
persistence_corrected,Neither actor dominant,0.292159602554319,16
persistence_corrected,Militia dominant,-0.258904817706208,16
persistence_corrected,Park dominant,-0.610713673461936,16
annual_presence,Neither actor dominant,-1.81201261706825,16
annual_presence,Militia dominant,-1.60872099645396,16
annual_presence,Park dominant,-1.48194947210473,16
first_crossing_full,Neither actor dominant,0.251315828778311,17
first_crossing_full,Militia dominant,-0.0810263654620991,17
first_crossing_full,Park dominant,-0.846121002219829,17
first_crossing_restricted,Neither actor dominant,0.206662774372115,17
first_crossing_restricted,Militia dominant,-0.133285328807174,17
first_crossing_restricted,Park dominant,-0.899886120072255,17
persistence_corrected,Neither actor dominant,0.236649724527525,17
persistence_corrected,Militia dominant,-0.16222792638902,17
persistence_corrected,Park dominant,-0.825721366738723,17
annual_presence,Neither actor dominant,-0.958164110047398,17
annual_presence,Militia dominant,-0.817565960152428,17
annual_presence,Park dominant,-0.734811041591067,17
first_crossing_full,Neither actor dominant,0.419954212904271,18
first_crossing_full,Militia dominant,0.53930133931946,18
first_crossing_full,Park dominant,-0.00466064270752226,18
first_crossing_restricted,Neither actor dominant,0.322921906370632,18
first_crossing_restricted,Militia dominant,0.435295026363536,18
first_crossing_restricted,Park dominant,0.301620124260757,18
persistence_corrected,Neither actor dominant,0.396627651508277,18
persistence_corrected,Militia dominant,0.43913554004046,18
persistence_corrected,Park dominant,0.368298787088157,18
annual_presence,Neither actor dominant,-1.54450311945842,18
annual_presence,Militia dominant,-1.29445509357123,18
annual_presence,Park dominant,-0.919369005981039,18
first_crossing_full,Neither actor dominant,0.503657330284662,19
first_crossing_full,Militia dominant,0.2872424392514,19
first_crossing_full,Park dominant,-0.591539023257456,19
first_crossing_restricted,Neither actor dominant,0.440744242625861,19
first_crossing_restricted,Militia dominant,0.216436005412087,19
first_crossing_restricted,Park dominant,-0.554433128738476,19
persistence_corrected,Neither actor dominant,0.446486471252289,19
persistence_corrected,Militia dominant,0.257476606038204,19
persistence_corrected,Park dominant,-0.57285605723174,19
annual_presence,Neither actor dominant,-1.82205972170555,19
annual_presence,Militia dominant,-1.42358456730866,19
annual_presence,Park dominant,-1.23194412137275,19
first_crossing_full,Neither actor dominant,-0.0380937738309927,20
first_crossing_full,Militia dominant,-0.209253558801253,20
first_crossing_full,Park dominant,-0.199349197436624,20
first_crossing_restricted,Neither actor dominant,-0.0274555476398782,20
first_crossing_restricted,Militia dominant,-0.197896341927371,20
first_crossing_restricted,Park dominant,-0.330909876490628,20
persistence_corrected,Neither actor dominant,0.0778414817649564,20
persistence_corrected,Militia dominant,-0.279627169619909,20
persistence_corrected,Park dominant,-0.300257363484951,20
annual_presence,Neither actor dominant,-0.850252882782377,20
annual_presence,Militia dominant,-0.707673738787201,20
annual_presence,Park dominant,-0.520870500996295,20
first_crossing_full,Neither actor dominant,0.141193511718587,21
first_crossing_full,Militia dominant,0.381794663402217,21
first_crossing_full,Park dominant,-0.589216914137204,21
first_crossing_restricted,Neither actor dominant,0.0675561606935757,21
first_crossing_restricted,Militia dominant,0.303930589609884,21
first_crossing_restricted,Park dominant,-0.52525274279631,21
persistence_corrected,Neither actor dominant,0.0758535606250174,21
persistence_corrected,Militia dominant,0.29871024896962,21
persistence_corrected,Park dominant,-0.463038575424262,21
annual_presence,Neither actor dominant,-1.99125880484194,21
annual_presence,Militia dominant,-1.66508974017785,21
annual_presence,Park dominant,-1.42227443208424,21
first_crossing_full,Neither actor dominant,0.593680613038317,22
first_crossing_full,Militia dominant,-0.0394945486770569,22
first_crossing_full,Park dominant,-0.663646926742633,22
first_crossing_restricted,Neither actor dominant,0.524130622910829,22
first_crossing_restricted,Militia dominant,-0.112504607845188,22
first_crossing_restricted,Park dominant,-0.642446153763786,22
persistence_corrected,Neither actor dominant,0.568840275387847,22
persistence_corrected,Militia dominant,-0.211498581379312,22
persistence_corrected,Park dominant,-0.569733082820275,22
annual_presence,Neither actor dominant,-1.87220775212349,22
annual_presence,Militia dominant,-1.78572436144785,22
annual_presence,Park dominant,-1.708191750935,22
first_crossing_full,Neither actor dominant,0.155428910660021,23
first_crossing_full,Militia dominant,-0.01510521758526,23
first_crossing_full,Park dominant,-0.341964365699159,23
first_crossing_restricted,Neither actor dominant,0.0605157036575616,23
first_crossing_restricted,Militia dominant,-0.117311605647467,23
first_crossing_restricted,Park dominant,-0.0532694340291326,23
persistence_corrected,Neither actor dominant,0.0595350655738792,23
persistence_corrected,Militia dominant,-0.0721953947914135,23
persistence_corrected,Park dominant,-0.118273202520581,23
annual_presence,Neither actor dominant,-1.96035999208014,23
annual_presence,Militia dominant,-1.806904592921,23
annual_presence,Park dominant,-1.71095210017358,23
first_crossing_full,Neither actor dominant,-0.0539772733275865,24
first_crossing_full,Militia dominant,-0.0978183006239149,24
first_crossing_full,Park dominant,-0.271642682160689,24
first_crossing_restricted,Neither actor dominant,-0.065306509867752,24
first_crossing_restricted,Militia dominant,-0.110423661810394,24
first_crossing_restricted,Park dominant,-0.363232486347492,24
persistence_corrected,Neither actor dominant,-0.0569508508939098,24
persistence_corrected,Militia dominant,-0.135390868159083,24
persistence_corrected,Park dominant,-0.325989861994416,24
annual_presence,Neither actor dominant,-1.79116629603144,24
annual_presence,Militia dominant,-1.65377410549986,24
annual_presence,Park dominant,-1.57120108285093,24
first_crossing_full,Neither actor dominant,1.10981844009901,25
first_crossing_full,Militia dominant,0.32346007458838,25
first_crossing_full,Park dominant,-0.2543909715791,25
first_crossing_restricted,Neither actor dominant,1.04404271799474,25
first_crossing_restricted,Militia dominant,0.24732315304124,25
first_crossing_restricted,Park dominant,-0.227635801074973,25
persistence_corrected,Neither actor dominant,1.14738533509975,25
persistence_corrected,Militia dominant,0.290061011818174,25
persistence_corrected,Park dominant,-0.329101549952915,25
annual_presence,Neither actor dominant,-1.49855452118501,25
annual_presence,Militia dominant,-1.26405560776999,25
annual_presence,Park dominant,-1.00373794950476,25
first_crossing_full,Neither actor dominant,0.213154410462333,26
first_crossing_full,Militia dominant,0.172593910148702,26
first_crossing_full,Park dominant,-0.354032543812977,26
first_crossing_restricted,Neither actor dominant,0.144611412461602,26
first_crossing_restricted,Militia dominant,0.0989318748470809,26
first_crossing_restricted,Park dominant,-0.160102496628766,26
persistence_corrected,Neither actor dominant,0.193669532165591,26
persistence_corrected,Militia dominant,0.119484855161302,26
persistence_corrected,Park dominant,-0.265393625528621,26
annual_presence,Neither actor dominant,-0.66606514478355,26
annual_presence,Militia dominant,-0.391531725536968,26
annual_presence,Park dominant,-0.208790654641786,26
first_crossing_full,Neither actor dominant,0.705162337030353,27
first_crossing_full,Militia dominant,0.562714097600846,27
first_crossing_full,Park dominant,-0.406888781320816,27
first_crossing_restricted,Neither actor dominant,0.59990399150463,27
first_crossing_restricted,Militia dominant,0.445621782160202,27
first_crossing_restricted,Park dominant,-0.14027071718152,27
persistence_corrected,Neither actor dominant,0.644021854809776,27
persistence_corrected,Militia dominant,0.495981435540304,27
persistence_corrected,Park dominant,-0.160064342132242,27
annual_presence,Neither actor dominant,-0.543848054288031,27
annual_presence,Militia dominant,-0.257696323795981,27
annual_presence,Park dominant,-0.00507760381330547,27
first_crossing_full,Neither actor dominant,-0.0779767358116061,28
first_crossing_full,Militia dominant,0.0269574905478421,28
first_crossing_full,Park dominant,-0.220834667191187,28
first_crossing_restricted,Neither actor dominant,-0.134142790234921,28
first_crossing_restricted,Militia dominant,-0.0350507301807333,28
first_crossing_restricted,Park dominant,-0.0220356292814001,28
persistence_corrected,Neither actor dominant,-0.105514863188618,28
persistence_corrected,Militia dominant,-0.0544308579094427,28
persistence_corrected,Park dominant,-0.0850890155141776,28
annual_presence,Neither actor dominant,-1.57415947148841,28
annual_presence,Militia dominant,-1.47497440117715,28
annual_presence,Park dominant,-1.38423435641329,28
first_crossing_full,Neither actor dominant,0.181608167294083,29
first_crossing_full,Militia dominant,0.161246212109701,29
first_crossing_full,Park dominant,-0.530910827471591,29
first_crossing_restricted,Neither actor dominant,0.105005759481668,29
first_crossing_restricted,Militia dominant,0.0793134981302075,29
first_crossing_restricted,Park dominant,-0.370151171243461,29
persistence_corrected,Neither actor dominant,0.102714174410646,29
persistence_corrected,Militia dominant,0.092651724371673,29
persistence_corrected,Park dominant,-0.345030515694504,29
annual_presence,Neither actor dominant,-1.74878527484835,29
annual_presence,Militia dominant,-1.47113900259136,29
annual_presence,Park dominant,-1.32663249412748,29
first_crossing_full,Neither actor dominant,0.0869924281335815,30
first_crossing_full,Militia dominant,0.264897373344664,30
first_crossing_full,Park dominant,-0.334714260431408,30
first_crossing_restricted,Neither actor dominant,0.0694447067098114,30
first_crossing_restricted,Militia dominant,0.245052331130564,30
first_crossing_restricted,Park dominant,-0.422079856531255,30
persistence_corrected,Neither actor dominant,0.128661796117634,30
persistence_corrected,Militia dominant,0.27483963377116,30
persistence_corrected,Park dominant,-0.498889182346523,30
annual_presence,Neither actor dominant,-2.08734319789156,30
annual_presence,Militia dominant,-1.76055847871306,30
annual_presence,Park dominant,-1.46911222115582,30
first_crossing_full,Neither actor dominant,0.348141762569907,31
first_crossing_full,Militia dominant,0.285114947371809,31
first_crossing_full,Park dominant,-0.482363330963536,31
