cell,SESU_ID,signed_distance_km,side,x_m,y_m,block,original_event,persistent_event,original_observed_through,persistent_observed_through,baseline_agricultural
112844,1,7.9056943359375,outside,431750,9011750,1_86_1802,2022,,2022,2019,FALSE
112846,1,7.1063349609375,outside,432750,9011750,1_86_1802,2016,2016,2022,2019,FALSE
112847,1,6.7082041015625,outside,433250,9011750,1_86_1802,2018,2018,2022,2019,FALSE
112854,1,3.90512475585938,outside,436750,9011750,1_87_1802,2006,2006,2022,2019,FALSE
112856,1,3.20156201171875,outside,437750,9011750,1_87_1802,2015,2015,2022,2019,FALSE
113291,1,7.6321689453125,outside,431750,9011250,1_86_1802,2004,2004,2022,2019,FALSE
113299,1,4.30116259765625,outside,435750,9011250,1_87_1802,2017,2017,2022,2019,TRUE
113737,1,7.81024951171875,outside,431250,9010750,1_86_1802,2004,2004,2022,2019,FALSE
113738,1,7.38241162109375,outside,431750,9010750,1_86_1802,2007,2007,2022,2019,FALSE
113753,1,1.58113879394531,outside,439250,9010750,1_87_1802,2006,2006,2022,2019,FALSE
114182,1,8.321658203125,outside,430250,9010250,1_86_1802,2006,2006,2022,2019,FALSE
114183,1,7.9056943359375,outside,430750,9010250,1_86_1802,2005,2005,2022,2019,FALSE
114185,1,7.1063349609375,outside,431750,9010250,1_86_1802,2017,2017,2022,2019,FALSE
114629,1,8.0622578125,outside,430250,9009750,1_86_1801,2018,,2022,2019,FALSE
114631,1,7.2111025390625,outside,431250,9009750,1_86_1801,2016,2016,2022,2019,FALSE
114632,1,6.8007353515625,outside,431750,9009750,1_86_1801,2014,2014,2022,2019,FALSE
114634,1,6.02079736328125,outside,432750,9009750,1_86_1801,2004,2004,2022,2019,FALSE
114635,1,5.590169921875,outside,433250,9009750,1_86_1801,2004,2004,2022,2019,FALSE
114637,1,4.71699072265625,outside,434250,9009750,1_86_1801,2017,2017,2022,2019,FALSE
114648,1,0.5,outside,439750,9009750,1_87_1801,2022,,2022,2019,FALSE
114649,1,0.5,outside,440250,9009750,1_88_1801,2018,2018,2022,2019,FALSE
115077,1,7.38241162109375,outside,430750,9009250,1_86_1801,2015,2015,2022,2019,FALSE
115078,1,6.94622216796875,outside,431250,9009250,1_86_1801,2014,2014,2022,2019,FALSE
115079,1,6.51920263671875,outside,431750,9009250,1_86_1801,2010,2010,2022,2019,FALSE
115080,1,6.10327783203125,outside,432250,9009250,1_86_1801,2008,2008,2022,2019,FALSE
115081,1,5.700876953125,outside,432750,9009250,1_86_1801,2001,2001,2022,2019,FALSE
115082,1,5.31507275390625,outside,433250,9009250,1_86_1801,2006,2006,2022,2019,FALSE
115083,1,4.9244287109375,outside,433750,9009250,1_86_1801,2009,2009,2022,2019,FALSE
115084,1,4.4721357421875,outside,434250,9009250,1_86_1801,2017,2017,2022,2019,FALSE
115085,1,4.03112890625,outside,434750,9009250,1_86_1801,2006,2006,2022,2019,FALSE
115090,1,2.061552734375,outside,437250,9009250,1_87_1801,2001,,2022,2019,FALSE
115095,1,-0.5,inside,439750,9009250,1_87_1801,2020,,2022,2019,FALSE
115096,1,-0.5,inside,440250,9009250,1_88_1801,2016,2016,2022,2019,FALSE
115525,1,6.7082041015625,outside,431250,9008750,1_86_1801,2014,2014,2022,2019,FALSE
115526,1,6.26498193359375,outside,431750,9008750,1_86_1801,2006,2006,2022,2019,FALSE
115527,1,5.83095166015625,outside,432250,9008750,1_86_1801,2009,2009,2022,2019,FALSE
115528,1,5.4083271484375,outside,432750,9008750,1_86_1801,2013,2013,2022,2019,FALSE
115529,1,5,outside,433250,9008750,1_86_1801,2015,2015,2022,2019,FALSE
115542,1,-0.707106811523437,inside,439750,9008750,1_87_1801,2016,2016,2022,2019,FALSE
115972,1,6.3639609375,outside,431250,9008250,1_86_1801,2016,2016,2022,2019,FALSE
115973,1,6.02079736328125,outside,431750,9008250,1_86_1801,2022,,2022,2019,FALSE
115978,1,3.90512475585938,outside,434250,9008250,1_86_1801,2017,2017,2022,2019,FALSE
115989,1,-1,inside,439750,9008250,1_87_1801,2020,,2022,2019,FALSE
116424,1,4.03112890625,outside,433750,9007750,1_86_1801,2017,2017,2022,2019,FALSE
116435,1,-0.707106811523437,inside,439250,9007750,1_87_1801,2015,2015,2022,2019,FALSE
116436,1,-1.11803393554687,inside,439750,9007750,1_87_1801,2011,2011,2022,2019,FALSE
116883,1,-1.41421362304688,inside,439750,9007250,1_87_1801,2018,2018,2022,2019,FALSE
117313,1,5.4083271484375,outside,431250,9006750,1_86_1801,2019,2019,2022,2019,FALSE
117331,1,-2.1213203125,inside,440250,9006750,1_88_1801,2017,2017,2022,2019,FALSE
117333,1,-2.5,inside,441250,9006750,1_88_1801,2022,,2022,2019,FALSE
117777,1,-2.061552734375,inside,439750,9006250,1_87_1801,2020,,2022,2019,FALSE
118207,1,4.9244287109375,outside,431250,9005750,1_86_1801,2022,,2022,2019,FALSE
118217,1,1,outside,436250,9005750,1_87_1801,2017,2017,2022,2019,FALSE
118218,1,0.5,outside,436750,9005750,1_87_1801,2018,2018,2022,2019,FALSE
118224,1,-2.23606787109375,inside,439750,9005750,1_87_1801,2019,2019,2022,2019,FALSE
118225,1,-2.69258251953125,inside,440250,9005750,1_88_1801,2020,,2022,2019,FALSE
122669,1,5.590169921875,outside,427250,9000750,1_85_1800,2017,,2022,2019,FALSE
122672,1,4.30116259765625,outside,428750,9000750,1_85_1800,2022,,2022,2019,FALSE
123118,1,4.4721357421875,outside,428250,9000250,1_85_1800,2022,,2022,2019,FALSE
132028,1,4.71699072265625,outside,413250,8990250,1_82_1798,2018,2018,2022,2019,FALSE
132474,1,4.9244287109375,outside,412750,8989750,1_82_1797,2017,2017,2022,2019,FALSE
132921,1,4.6097724609375,outside,412750,8989250,1_82_1797,2017,2017,2022,2019,FALSE
138707,1,9.0138779296875,outside,400250,8982750,1_80_1796,2018,,2022,2019,FALSE
138921,3,9.1923876953125,outside,507250,8982750,3_101_1796,2017,2017,2022,2019,FALSE
145867,1,0.5,outside,404250,8974750,1_80_1794,2010,2010,2022,2019,FALSE
