run_id,outcome,profile_comparison,estimate,standard_error,conf_low,conf_high,odds_ratio
first_crossing_full,agriculture,Neither actor dominant minus Militia dominant,0.0647296164837915,0.290673749570715,-0.504980463926025,0.634439696893608,1.06687052117984
first_crossing_full,agriculture,Neither actor dominant minus Park dominant,0.633446962428786,0.311439815058039,0.0230361415632143,1.24385778329436,1.88409379967632
first_crossing_full,agriculture,Militia dominant minus Park dominant,0.568717345944994,0.22051748120104,0.136511024829467,1.00092366706052,1.76600043048591
first_crossing_restricted,agriculture,Neither actor dominant minus Militia dominant,0.0688803627387936,0.290663455738192,-0.500809542130014,0.638570267607601,1.07130803312219
first_crossing_restricted,agriculture,Neither actor dominant minus Park dominant,0.461763473139698,0.326316398249206,-0.177804914993575,1.10133186127297,1.58686992147318
first_crossing_restricted,agriculture,Militia dominant minus Park dominant,0.392883110400904,0.241955474580281,-0.0813409056387421,0.867107126440551,1.48124523704769
persistence_corrected,agriculture,Neither actor dominant minus Militia dominant,0.118408305498931,0.296317417119866,-0.46236316004794,0.699179771045801,1.12570364853505
persistence_corrected,agriculture,Neither actor dominant minus Park dominant,0.491788410428634,0.384707245223559,-0.26222393480116,1.24580075565843,1.63523808327261
persistence_corrected,agriculture,Militia dominant minus Park dominant,0.373380104929703,0.344530156004011,-0.301886592426124,1.04864680228553,1.45263638916038
annual_presence,agriculture,Neither actor dominant minus Militia dominant,-0.193637809881589,0.0849727300615996,-0.360181300470368,-0.0270943192928098,0.823956279053392
annual_presence,agriculture,Neither actor dominant minus Park dominant,-0.373668516555847,0.044187009203258,-0.460273463178773,-0.287063569932922,0.688205002587277
annual_presence,agriculture,Militia dominant minus Park dominant,-0.180030706674258,0.0776231673510424,-0.332169319048227,-0.0278920943002897,0.835244563434757
