comparison,governance_profile,point_change,bootstrap_mean_change,conf_low,conf_high
definition: persistence minus restricted,Militia dominant,-0.014206491891000012,-0.0190381307791323,-0.101147747719255,0.0646182971767155
definition: persistence minus restricted,Neither actor dominant,0.03532145086913702,0.0397211585562731,-0.0324511451790405,0.131112845662568
definition: persistence minus restricted,Park dominant,0.005296513580201001,0.00928869149145119,-0.10913594533255,0.140334258692479
period: restricted minus full,Militia dominant,-0.06887382634997899,-0.062143437904121,-0.11698470539803,7.87076937668702e-05
period: restricted minus full,Neither actor dominant,-0.06472308009497602,-0.0573090767479667,-0.106454835562735,7.4991298598818e-05
period: restricted minus full,Park dominant,0.10696040919411098,0.0968407811996285,-0.131729918947681,0.310512498678974
