run_id,outcome,governance_profile,estimate,standard_error,conf_low,conf_high,odds_ratio
first_crossing_full,agriculture,Neither actor dominant,0.286485847450869,0.229996977828128,-0.16429994564532,0.737271640547059,1.33173932025468
first_crossing_full,agriculture,Militia dominant,0.221756230967078,0.137786166542745,-0.048299693024539,0.491812154958695,1.24826705192109
first_crossing_full,agriculture,Park dominant,-0.346961114977916,0.158116616597485,-0.656863988866315,-0.0370582410895171,0.706832812932916
first_crossing_restricted,agriculture,Neither actor dominant,0.221762767355893,0.225322184777549,-0.219860599725982,0.663386134437768,1.24827521110656
first_crossing_restricted,agriculture,Militia dominant,0.152882404617099,0.138783103519495,-0.119127479943805,0.424892289178003,1.16518795016277
first_crossing_restricted,agriculture,Park dominant,-0.240000705783805,0.189218671103228,-0.610862486348661,0.130861074781051,0.786627305877544
persistence_corrected,agriculture,Neither actor dominant,0.25708421822503,0.217455272037884,-0.169120283217583,0.683288719667643,1.29315402931054
persistence_corrected,agriculture,Militia dominant,0.138675912726099,0.168232080533573,-0.191052906163945,0.468404731616143,1.14875174384787
persistence_corrected,agriculture,Park dominant,-0.234704192203604,0.264593515527141,-0.75329795317964,0.283889568772432,0.790804741241435
annual_presence,agriculture,Neither actor dominant,-1.54916260349553,0.0517948241729588,-1.65067859346012,-1.44764661353095,0.212425783976514
annual_presence,agriculture,Militia dominant,-1.35552479361394,0.0755002712251367,-1.50350260603822,-1.20754698118967,0.257811960873168
annual_presence,agriculture,Park dominant,-1.17549408693969,0.0427061831685964,-1.25919666786731,-1.09179150601207,0.30866643395196
