domain,park_side,SESU_ID,governance_profile_at_event,event_year,reversal_status,N
10km,outside,1,Militia dominant,2013,not_reversed,20
10km,inside,1,Militia dominant,2013,not_reversed,25
10km,outside,1,Militia dominant,2013,reversed,2
10km,outside,1,Militia dominant,2014,not_reversed,20
10km,inside,1,Militia dominant,2014,not_reversed,25
10km,inside,1,Militia dominant,2014,reversed,1
10km,inside,1,Militia dominant,2015,not_reversed,14
10km,outside,1,Militia dominant,2015,not_reversed,8
10km,outside,1,Militia dominant,2016,reversed,1
10km,outside,1,Militia dominant,2016,not_reversed,9
10km,inside,1,Militia dominant,2016,not_reversed,21
10km,inside,1,Militia dominant,2016,reversed,1
10km,inside,1,Park dominant,2017,not_reversed,20
10km,inside,1,Park dominant,2017,reversed,2
10km,outside,1,Park dominant,2017,not_reversed,26
10km,outside,1,Park dominant,2017,reversed,2
10km,outside,1,Park dominant,2018,not_reversed,16
10km,inside,1,Park dominant,2018,not_reversed,22
10km,outside,1,Park dominant,2018,reversed,4
10km,outside,1,Park dominant,2019,not_reversed,11
10km,inside,1,Park dominant,2019,not_reversed,4
10km,inside,1,Park dominant,2019,reversed,1
10km,outside,1,Park dominant,2019,reversed,1
10km,outside,1,Park dominant,2020,not_reversed,14
10km,inside,1,Park dominant,2020,not_reversed,7
10km,outside,1,Park dominant,2021,insufficient_followup,20
10km,inside,1,Park dominant,2021,insufficient_followup,8
10km,outside,1,Park dominant,2022,insufficient_followup,17
10km,inside,1,Park dominant,2022,insufficient_followup,10
10km,outside,3,Park dominant,2011,not_reversed,1
10km,outside,3,Park dominant,2017,not_reversed,2
