analysis,term,estimate,standard_error,conf_low,conf_high,rank,residual_df
first_crossing_full,(Intercept),0.541420676024178,0.262007204793382,0.02789599093914,1.05494536110922,4,40
first_crossing_full,governance_profileMilitia dominant,-0.0647296164837915,0.290673749570715,-0.634439696893608,0.504980463926025,4,40
first_crossing_full,governance_profilePark dominant,-0.633446962428786,0.311439815058039,-1.24385778329436,-0.0230361415632143,4,40
first_crossing_full,SESU_ID3,-0.509869657146617,0.16495977592247,-0.833184876852456,-0.186554437440779,4,40
first_crossing_restricted,(Intercept),0.549918149855563,0.262421160668763,0.0355821261635881,1.06425417354754,4,34
first_crossing_restricted,governance_profileMilitia dominant,-0.0688803627387936,0.290663455738192,-0.638570267607601,0.500809542130014,4,34
first_crossing_restricted,governance_profilePark dominant,-0.461763473139698,0.326316398249206,-1.10133186127297,0.177804914993575,4,34
first_crossing_restricted,SESU_ID3,-0.65631076499934,0.17721300849979,-1.00364187925092,-0.308979650747762,4,34
persistence_corrected,(Intercept),0.595155463423051,0.248045246612397,0.108995713526397,1.0813152133197,4,34
persistence_corrected,governance_profileMilitia dominant,-0.118408305498931,0.296317417119866,-0.699179771045801,0.46236316004794,4,34
persistence_corrected,governance_profilePark dominant,-0.491788410428634,0.384707245223559,-1.24580075565843,0.26222393480116,4,34
persistence_corrected,SESU_ID3,-0.676142490396042,0.1956669876374,-1.05964273912879,-0.292642241663293,4,34
annual_presence,(Intercept),-0.432577082602474,0.0397063108955682,-0.510400021916738,-0.35475414328821,4,40
annual_presence,governance_profileMilitia dominant,0.193637809881589,0.0849727300615996,0.0270943192928098,0.360181300470368,4,40
annual_presence,governance_profilePark dominant,0.373668516555847,0.044187009203258,0.287063569932922,0.460273463178773,4,40
annual_presence,SESU_ID3,-2.23317104178612,0.0799129824075883,-2.38979760920217,-2.07654447437006,4,40
